specimen,pause_group,n_layers,fit_success,T1,T2,T3,T4,T5,T6,t1_s,t2_s,t3_s,t4_s,t5_s,t6_s,T0_roi,A_roi,alpha_roi,T_inf_roi,heating_rate_t0,sigma_T0,sigma_A,sigma_alpha,roi_std_mean
Rec-022_10s_1,10s,6,True,97.4856,100.6089,102.4681,103.8939,104.175,104.1382,29.3333,78.6667,123.6667,167.8333,213.1667,259.1667,94.1583,10.6504,0.012571,104.8087,0.13389,6.1146,4.6852,0.018452,7.2805
Rec-024_90s_1,90s,6,True,91.2608,99.269,100.753,102.0137,102.2497,104.9964,28.6667,76.1667,124.5,170.5,214.6667,260.6667,82.1292,21.4741,0.019884,103.6033,0.426987,10.2453,9.4525,0.012792,7.0729
Rec-025_30s_1,30s,6,True,92.7746,98.997,101.0542,103.1528,105.0047,105.2424,27.1667,77.3333,123.1667,165.8333,211.0,253.1667,88.2304,18.5674,0.010401,106.7979,0.19312,3.7865,3.1033,0.00867,7.2237
Rec-026_60s_2,60s,6,True,89.3001,95.6236,99.1844,100.6956,102.2385,103.2387,28.6667,74.0,121.5,166.5,212.8333,260.6667,83.3665,20.5455,0.011995,103.912,0.246449,4.2257,3.2368,0.006405,6.6239
Rec-028_30s_2,30s,6,True,91.4263,97.0592,99.9527,101.0639,102.061,101.861,29.8333,77.8333,125.0,171.1667,217.5,264.0,85.055,17.4071,0.01521,102.4621,0.264754,5.7931,4.8592,0.009043,6.5916
Rec-029_10s_2,10s,6,True,95.9117,99.2496,102.3649,103.1121,103.8629,104.4328,30.1667,78.1667,123.5,171.1667,217.8333,261.8333,91.8922,13.2026,0.011335,105.0948,0.149654,5.2563,4.1958,0.008743,5.9631
Rec-030_90s_2,90s,6,True,88.697,96.0428,100.2635,101.7245,101.7975,103.101,26.8333,74.5,120.6667,165.5,214.3333,259.3333,80.8027,22.3822,0.016002,103.185,0.358161,4.9622,4.0228,0.007087,6.6693
Rec-031_30s_3,30s,6,True,92.4743,98.1234,100.3459,101.2389,102.2326,104.0574,27.8333,76.5,123.5,170.0,217.6667,266.5,88.4157,15.7034,0.011371,104.1191,0.17857,3.8012,3.0317,0.006999,6.7496
Rec-032_30s_4,30s,6,True,91.8954,97.5089,100.4285,101.6377,102.6572,103.5373,26.1667,72.1667,119.0,166.5,212.8333,259.1667,86.8565,16.7426,0.013763,103.5991,0.230434,3.9302,3.0297,0.008228,6.4536
Rec-G3_S60_1,60s,6,True,86.9952,93.5236,97.2649,99.0441,100.6915,101.343,34.5,92.1667,148.6667,204.1667,260.6667,316.5,81.0608,21.3454,0.009465,102.4062,0.202038,8.2135,6.3242,0.009651,4.5604
