specimen,pause_group,n_layers,fit_success,T1,T2,T3,T4,T5,T6,t1_s,t2_s,t3_s,t4_s,t5_s,t6_s,T0_roi,A_roi,alpha_roi,T_inf_roi,heating_rate_t0,sigma_T0,sigma_A,sigma_alpha,roi_std_mean
Rec-022_10s_1,10s,6,True,94.318,97.6501,99.5071,100.9385,101.1431,101.3882,29.3333,78.6667,123.6667,167.8333,213.1667,259.1667,90.8732,11.118,0.012479,101.9913,0.138746,5.3869,4.1249,0.015264,7.3617
Rec-024_90s_1,90s,6,True,87.8192,95.6145,97.3952,99.0622,99.4838,101.7859,28.6667,76.1667,124.5,170.5,214.6667,260.6667,80.1698,20.802,0.016775,100.9719,0.348963,8.2957,7.4804,0.009859,7.4295
Rec-025_30s_1,30s,6,True,89.5869,95.799,98.1189,100.0667,102.0503,102.1683,27.1667,77.3333,123.1667,165.8333,211.0,253.1667,84.9851,18.9152,0.01031,103.9002,0.195021,3.164,2.59,0.007208,7.4065
Rec-026_60s_2,60s,6,True,85.9893,92.523,96.2229,97.7906,99.4214,100.3737,28.6667,74.0,121.5,166.5,212.8333,260.6667,79.8109,21.2944,0.01205,101.1053,0.256591,3.33,2.5831,0.004831,6.9251
Rec-028_30s_2,30s,6,True,88.2357,93.9087,96.9166,98.261,99.2224,99.1083,29.8333,77.8333,125.0,171.1667,217.5,264.0,81.9595,17.8427,0.014423,99.8023,0.257339,4.9195,4.118,0.007078,6.881
Rec-029_10s_2,10s,6,True,93.2311,96.6082,99.6023,100.4466,101.2704,101.8059,30.1667,78.1667,123.5,171.1667,217.8333,261.8333,89.3096,13.1896,0.011149,102.4992,0.147055,4.9348,3.9177,0.008234,6.1955
Rec-030_90s_2,90s,6,True,85.5737,92.809,96.9002,98.6761,98.9249,100.1827,26.8333,74.5,120.6667,165.5,214.3333,259.3333,78.1514,22.2474,0.014902,100.3987,0.331535,4.3971,3.6155,0.005691,7.0345
Rec-031_30s_3,30s,6,True,89.2359,94.6181,97.511,98.5071,99.5091,101.116,27.8333,76.5,123.5,170.0,217.6667,266.5,85.0555,16.5145,0.010878,101.57,0.179639,3.2241,2.583,0.005283,6.9991
Rec-032_30s_4,30s,6,True,88.8801,94.5574,97.5218,98.8817,99.8634,100.6444,26.1667,72.1667,119.0,166.5,212.8333,259.1667,83.8058,17.0359,0.013625,100.8417,0.232114,3.6318,2.9143,0.006513,6.7156
Rec-G3_S60_1,60s,6,True,84.5631,91.0089,94.8202,96.7542,98.3806,99.0492,34.5,92.1667,148.6667,204.1667,260.6667,316.5,78.7281,21.527,0.00917,100.2551,0.197397,7.5358,5.809,0.00865,5.0651
