specimen,pause_group,pixel_row,pixel_col,pixel_flat,T1,T2,T3,T4,T5,T6,delta_T1,delta_T2,delta_T3,delta_T4,delta_T5,delta_T6,T_mean_across_layers,T_std_across_layers
Rec-022_10s_1,10s,0,0,0,106.005,108.558,110.7657,112.69,113.1964,112.2738,0.0,2.553,4.7607,6.685,7.1914,6.2688,110.5815,2.8007
Rec-022_10s_1,10s,0,1,1,100.252,103.4,105.1071,106.6362,107.2745,106.8454,0.0,3.148,4.8551,6.3842,7.0225,6.5934,104.9192,2.6956
Rec-022_10s_1,10s,0,2,2,96.402,99.819,101.5021,102.6708,103.1782,102.9631,0.0,3.417,5.1001,6.2688,6.7762,6.5611,101.0892,2.6127
Rec-022_10s_1,10s,0,3,3,93.903,97.648,99.1386,100.2492,100.6136,100.9162,0.0,3.745,5.2356,6.3462,6.7106,7.0132,98.7448,2.656
Rec-022_10s_1,10s,0,4,4,92.709,96.564,97.7421,98.7054,99.1336,99.7069,0.0,3.855,5.0331,5.9964,6.4246,6.9979,97.4268,2.5631
Rec-022_10s_1,10s,0,5,5,91.732,95.642,96.8507,97.9123,98.0473,98.7477,0.0,3.91,5.1187,6.1803,6.3153,7.0157,96.4887,2.5703
Rec-022_10s_1,10s,0,6,6,91.353,94.989,96.0379,97.3269,97.1591,97.9523,0.0,3.636,4.6849,5.9739,5.8061,6.5993,95.803,2.4208
Rec-022_10s_1,10s,0,7,7,90.648,94.285,94.9514,96.5762,95.73,97.2862,0.0,3.637,4.3034,5.9282,5.082,6.6382,94.9128,2.3517
Rec-022_10s_1,10s,0,8,8,94.393,98.192,99.9514,101.2092,101.7973,102.0015,0.0,3.799,5.5584,6.8162,7.4043,7.6085,99.5907,2.9122
Rec-022_10s_1,10s,0,9,9,92.168,95.911,97.6636,98.9992,99.43,99.6638,0.0,3.743,5.4956,6.8312,7.262,7.4958,97.3059,2.8779
Rec-022_10s_1,10s,0,10,10,90.429,94.556,96.0364,97.0338,97.6545,97.9108,0.0,4.127,5.6074,6.6048,7.2255,7.4818,95.6034,2.8155
Rec-022_10s_1,10s,0,11,11,89.29,93.307,94.8736,95.9508,96.2727,96.9931,0.0,4.017,5.5836,6.6608,6.9827,7.7031,94.4479,2.8338
Rec-022_10s_1,10s,0,12,12,88.585,92.764,94.3707,95.3662,95.73,96.2838,0.0,4.179,5.7857,6.7812,7.145,7.6988,93.8499,2.861
Rec-022_10s_1,10s,0,13,13,88.097,92.384,93.7107,94.7808,95.0882,95.7415,0.0,4.287,5.6137,6.6838,6.9912,7.6445,93.3004,2.8082
Rec-022_10s_1,10s,0,14,14,87.715,91.842,93.0893,94.3646,94.2982,95.3238,0.0,4.127,5.3743,6.6496,6.5832,7.6088,92.7722,2.7538
Rec-022_10s_1,10s,0,15,15,87.444,91.407,92.1993,93.8615,93.1636,94.8231,0.0,3.963,4.7553,6.4175,5.7196,7.3791,92.1497,2.6001
Rec-022_10s_1,10s,0,16,16,88.64,92.603,94.5243,95.95,96.2709,96.7846,0.0,3.963,5.8843,7.31,7.6309,8.1446,94.1288,3.0845
Rec-022_10s_1,10s,0,17,17,87.499,91.516,93.4779,94.9892,95.1855,95.6992,0.0,4.017,5.9789,7.4902,7.6865,8.2002,93.0611,3.1205
Rec-022_10s_1,10s,0,18,18,86.9,90.918,92.7407,93.9469,94.3482,94.9885,0.0,4.018,5.8407,7.0469,7.4482,8.0885,92.3071,3.0133
Rec-022_10s_1,10s,0,19,19,86.305,90.323,92.3921,93.4438,93.7555,94.6969,0.0,4.018,6.0871,7.1388,7.4505,8.3919,91.8194,3.0868
Rec-022_10s_1,10s,0,20,20,86.033,90.106,92.0043,93.0277,93.3118,94.3223,0.0,4.073,5.9713,6.9947,7.2788,8.2893,91.4675,3.022
Rec-022_10s_1,10s,0,21,21,85.817,89.78,91.5393,92.7354,92.9673,93.78,0.0,3.963,5.7223,6.9184,7.1503,7.963,91.1032,2.939
Rec-022_10s_1,10s,0,22,22,85.381,89.452,91.1121,92.4854,92.4236,93.4454,0.0,4.071,5.7311,7.1044,7.0426,8.0644,90.7166,2.9568
Rec-022_10s_1,10s,0,23,23,85.221,89.182,90.415,92.1508,91.4364,92.9438,0.0,3.961,5.194,6.9298,6.2154,7.7228,90.2248,2.7832
Rec-022_10s_1,10s,0,24,24,85.002,88.91,90.6864,92.11,92.6209,93.3208,0.0,3.908,5.6844,7.108,7.6189,8.3188,90.4417,3.0925
Rec-022_10s_1,10s,0,25,25,84.731,88.53,90.375,91.9008,92.3255,93.0285,0.0,3.799,5.644,7.1698,7.5945,8.2975,90.1485,3.1024
Rec-022_10s_1,10s,0,26,26,84.567,88.313,90.2193,91.5662,91.9818,92.6523,0.0,3.746,5.6523,6.9992,7.4148,8.0853,89.8833,3.0247
Rec-022_10s_1,10s,0,27,27,84.243,87.987,89.9114,91.3154,91.7827,92.3185,0.0,3.744,5.6684,7.0724,7.5397,8.0755,89.593,3.0494
Rec-022_10s_1,10s,0,28,28,84.027,87.825,89.6021,91.0654,91.4373,92.11,0.0,3.798,5.5751,7.0384,7.4103,8.083,89.3445,3.0213
Rec-022_10s_1,10s,0,29,29,83.7,87.554,89.33,90.8554,91.0418,91.9431,0.0,3.854,5.63,7.1554,7.3418,8.2431,89.0707,3.0507
Rec-022_10s_1,10s,0,30,30,83.538,87.281,88.825,90.6469,90.5973,91.6492,0.0,3.743,5.287,7.1089,7.0593,8.1112,88.7562,2.9915
Rec-022_10s_1,10s,0,31,31,83.211,86.901,88.3593,90.3962,89.7582,91.2323,0.0,3.69,5.1483,7.1852,6.5472,8.0213,88.3097,2.9318
Rec-024_90s_1,90s,0,0,0,98.9969,108.3477,109.101,109.4338,109.9138,113.4008,0.0,9.3508,10.1041,10.4369,10.9169,14.4039,108.199,4.8381
Rec-024_90s_1,90s,0,1,1,94.1123,102.6277,104.159,104.4662,104.8263,107.8054,0.0,8.5154,10.0467,10.3539,10.714,13.6931,102.9995,4.6701
Rec-024_90s_1,90s,0,2,2,90.7292,98.83,100.146,100.9585,101.5662,103.7985,0.0,8.1008,9.4168,10.2293,10.837,13.0693,99.3381,4.5279
Rec-024_90s_1,90s,0,3,3,88.5608,96.3677,97.649,98.7054,99.465,101.3331,0.0,7.8069,9.0882,10.1446,10.9042,12.7723,97.0135,4.4677
Rec-024_90s_1,90s,0,4,4,87.14,94.8223,96.075,97.5354,98.315,99.8746,0.0,7.6823,8.935,10.3954,11.175,12.7346,95.627,4.5119
Rec-024_90s_1,90s,0,5,5,86.4285,93.6962,95.315,96.7008,97.635,99.0392,0.0,7.2677,8.8865,10.2723,11.2065,12.6107,94.8025,4.4986
Rec-024_90s_1,90s,0,6,6,85.7623,92.9015,94.664,96.1592,96.9562,98.2454,0.0,7.1392,8.9017,10.3969,11.1939,12.4831,94.1148,4.4912
Rec-024_90s_1,90s,0,7,7,85.1369,92.2338,93.959,95.7,96.7525,97.7023,0.0,7.0969,8.8221,10.5631,11.6156,12.5654,93.5808,4.5781
Rec-024_90s_1,90s,0,8,8,88.4762,96.1592,97.486,99.2477,99.5337,102.1685,0.0,7.683,9.0098,10.7715,11.0575,13.6923,97.1786,4.7242
