specimen,pause_group,n_layers,fit_success,T1,T2,T3,T4,T5,T6,t1_s,t2_s,t3_s,t4_s,t5_s,t6_s,T0_roi,A_roi,alpha_roi,T_inf_roi,heating_rate_t0,sigma_T0,sigma_A,sigma_alpha,roi_std_mean
Rec-022_10s_1,10s,6,True,88.9357,92.7638,94.359,95.7157,95.9065,96.5729,29.1667,78.5,123.5,167.6667,213.0,259.0,85.3678,11.5518,0.012764,96.9196,0.147441,5.1576,4.2604,0.01072,4.9646
Rec-024_90s_1,90s,6,True,82.1993,89.6216,91.9174,93.9349,94.8152,96.2885,28.6667,76.0,124.5,170.3333,214.5,260.6667,76.6831,20.0207,0.012506,96.7039,0.250383,6.5495,5.5014,0.007058,5.3611
Rec-025_30s_1,30s,6,True,84.107,90.6032,93.1958,94.6822,96.5692,96.9827,27.1667,77.1667,123.0,165.6667,210.8333,253.0,79.2396,18.8828,0.011174,98.1224,0.210997,3.3287,2.552,0.005519,5.1849
Rec-026_60s_2,60s,6,True,80.5246,87.4302,91.318,93.1847,94.4567,95.3927,28.6667,73.8333,121.3333,166.3333,212.6667,260.5,73.7477,22.286,0.012741,96.0338,0.283944,3.172,2.5613,0.003853,5.0327
Rec-028_30s_2,30s,6,True,83.153,88.9053,91.8377,93.3908,94.4514,94.6894,29.6667,77.6667,124.8333,171.0,217.5,263.8333,77.2909,18.0022,0.013301,95.2931,0.239442,5.0574,4.3613,0.005868,4.9346
Rec-029_10s_2,10s,6,True,88.7149,92.2004,94.8986,95.8667,97.0432,96.8462,30.1667,78.1667,123.3333,171.1667,217.6667,261.8333,84.652,13.2635,0.011425,97.9155,0.151541,5.0485,3.9742,0.008194,4.5319
Rec-030_90s_2,90s,6,True,80.3388,87.5618,91.1435,93.2722,94.2032,95.2265,26.6667,74.3333,120.6667,165.3333,214.3333,259.1667,74.2244,21.6543,0.012662,95.8787,0.274184,4.5156,3.8824,0.004368,5.2251
Rec-031_30s_3,30s,6,True,83.6068,88.8068,92.9386,93.927,94.9226,96.083,27.6667,76.5,123.3333,170.0,217.5,266.5,78.5151,18.4458,0.010988,96.9609,0.20269,3.6516,2.8995,0.004119,4.9474
Rec-032_30s_4,30s,6,True,83.6577,89.6568,92.623,94.0293,95.0542,95.8672,26.0,72.0,118.8333,166.5,212.6667,259.0,78.7295,17.532,0.013154,96.2615,0.230615,3.7157,3.1529,0.004929,4.8625
Rec-G3_S60_1,60s,6,True,80.3832,86.7891,90.7367,92.8253,94.4499,95.0543,34.3333,92.0,148.5,204.1667,260.5,316.3333,74.5515,21.8446,0.009011,96.396,0.196844,6.2206,4.8278,0.006531,4.0764
