specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-027_std_2,1,1,1125,core,290,331,0.0,0.0,0.984,294,334,302,336,1.0,True,92.3758,97.16,89.0188,2.151,92.2753,"97.16,95.53,95.53,94.99,94.99,94.45,94.45,94.45,93.36,92.28,92.28,92.28,92.28,92.28,92.28,92.28,91.73,91.73,89.02,89.56,90.10,90.65,90.65,90.10,90.10,90.10,89.56"
Rec-027_std_2,1,2,1126,core,293,331,0.0,3.0,0.9832,297,334,305,336,1.0,True,93.1598,99.331,89.5616,2.3595,92.2753,"99.33,97.70,96.62,95.53,95.53,94.45,94.45,93.36,92.28,94.99,94.45,94.45,93.36,93.36,92.28,92.28,91.73,91.73,91.19,91.19,91.19,91.19,91.19,91.19,90.65,90.10,89.56"
Rec-027_std_2,1,3,1127,core,297,331,0.0,4.0,0.9817,301,334,309,336,1.0,True,93.1397,100.4165,89.5616,2.4861,92.2753,"100.42,98.25,96.62,95.53,94.45,94.45,93.36,93.36,92.28,95.53,94.45,94.45,93.36,92.28,92.28,92.28,91.73,91.19,92.28,91.73,91.19,91.19,91.19,90.65,90.65,90.10,89.56"
Rec-027_std_2,1,4,1128,core,302,331,0.0,5.0,0.9845,306,334,314,336,1.0,True,92.5165,98.2455,89.5616,2.0592,92.2753,"98.25,96.62,95.53,94.45,93.36,93.36,92.28,92.28,91.73,94.99,94.45,93.36,92.28,92.28,92.28,91.19,91.19,91.19,92.28,91.19,91.19,91.19,91.19,90.65,90.10,89.56,89.56"
Rec-027_std_2,1,5,1129,core,306,331,0.0,4.0,0.9825,310,334,318,336,1.0,True,92.4562,98.7882,89.5616,2.1355,92.2753,"98.79,96.62,95.53,94.45,93.36,92.28,92.28,92.28,91.73,94.99,94.45,93.36,92.28,92.28,91.73,91.19,91.19,90.65,92.28,91.73,91.19,91.19,90.65,90.65,90.10,89.56,89.56"
Rec-027_std_2,1,6,1130,core,311,331,0.0,5.0,0.9854,315,334,323,336,1.0,True,92.1145,97.16,89.5616,1.7341,92.2753,"97.16,95.53,94.45,93.36,93.36,93.36,92.28,92.28,92.28,93.36,93.36,92.28,92.28,92.28,91.19,91.19,91.19,91.19,91.73,91.19,91.19,90.65,90.65,90.10,90.10,89.56,89.56"
Rec-027_std_2,1,7,1131,core,315,331,0.0,4.0,0.9827,319,334,327,336,1.0,True,92.7376,98.2455,90.1043,1.8254,92.2753,"98.25,96.07,94.99,94.45,94.45,93.36,93.36,93.36,93.36,94.45,93.36,93.36,92.28,92.28,92.28,91.73,91.73,91.73,91.73,91.19,91.19,91.19,91.19,91.19,90.65,90.65,90.10"
Rec-027_std_2,1,8,1132,core,320,331,0.0,5.0,0.9855,324,334,332,336,1.0,True,93.1396,97.7027,90.6471,1.7243,93.3608,"97.70,96.07,95.53,94.99,94.45,94.45,94.45,93.36,93.36,94.45,94.45,93.36,93.36,93.36,92.28,92.28,92.28,92.28,92.28,91.73,91.73,91.19,91.19,91.19,91.19,91.19,90.65"
Rec-027_std_2,1,9,1133,core,324,331,0.0,4.0,0.9823,328,334,336,336,1.0,True,93.6824,98.7882,91.1898,2.0106,93.3608,"98.79,97.70,96.62,95.53,94.99,94.99,94.45,94.45,94.45,95.53,94.45,94.45,94.45,93.36,93.36,92.28,92.28,92.28,92.28,92.28,92.28,91.73,91.73,91.19,91.19,91.19,91.19"
Rec-027_std_2,1,10,1134,core,329,331,0.0,5.0,0.9854,333,334,341,336,1.0,True,93.8231,98.2455,91.1898,1.8254,93.3608,"98.25,97.16,96.07,95.53,95.53,94.99,94.99,94.99,94.45,94.99,94.99,94.45,94.45,93.36,93.36,93.36,93.36,92.28,92.28,92.28,92.28,92.28,92.28,91.73,91.19,91.19,91.19"
Rec-027_std_2,1,11,1135,core,334,331,0.0,5.0,0.9821,338,334,346,336,1.0,True,93.7628,98.2455,91.1898,1.8836,93.3608,"98.25,97.16,96.07,96.07,95.53,95.53,94.99,94.45,94.45,94.99,94.45,94.45,94.45,93.36,93.36,93.36,92.28,92.28,92.28,92.28,92.28,92.28,91.73,91.73,91.19,91.19,91.19"
