specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-022_10s_1,1,1,2794,core,290,331,0.0,0.0,0.9846,294,334,298,336,1.0,True,85.9071,91.7325,82.5059,2.9626,85.2196,"91.73,90.10,89.56,88.48,88.48,85.76,85.76,85.22,85.22,84.68,82.51,82.51,83.05,83.05,82.51"
Rec-022_10s_1,1,2,2795,core,296,331,0.0,6.0,0.9835,300,334,304,336,1.0,True,85.7623,92.2753,81.9631,2.8237,85.2196,"92.28,90.10,88.48,87.39,86.31,87.39,85.76,85.22,84.13,84.13,84.13,83.59,83.05,82.51,81.96"
Rec-022_10s_1,1,3,2796,core,300,331,0.0,4.0,0.9839,304,334,308,336,1.0,True,85.4367,92.2753,81.9631,2.8292,84.6769,"92.28,89.56,87.93,86.85,85.76,87.39,85.76,84.68,84.13,83.59,83.59,83.05,82.51,82.51,81.96"
Rec-022_10s_1,1,4,2797,core,309,331,0.0,9.0,0.9852,313,334,317,336,1.0,True,83.9894,90.1043,80.8776,2.557,83.0486,"90.10,87.93,86.31,85.22,84.68,85.22,84.13,83.05,83.05,82.51,82.51,81.96,81.42,80.88,80.88"
Rec-022_10s_1,1,5,2798,core,314,331,0.0,5.0,0.987,318,334,322,336,1.0,True,83.9532,89.0188,81.4204,2.168,83.5914,"89.02,87.39,85.76,85.22,84.68,84.68,84.13,83.59,83.05,83.05,82.51,81.96,81.42,81.42,81.42"
Rec-022_10s_1,1,6,2799,core,323,331,0.0,9.0,0.9886,327,334,331,336,1.0,True,86.2327,90.6471,84.1341,1.9805,85.7624,"90.65,89.02,87.93,87.93,87.93,86.31,85.76,85.76,85.76,85.76,84.13,84.13,84.13,84.13,84.13"
Rec-022_10s_1,1,7,2800,core,327,331,0.0,4.0,0.9866,331,334,335,336,1.0,True,87.8971,92.2753,85.2196,2.1479,87.3906,"92.28,91.19,90.10,89.56,89.56,87.93,87.93,87.39,87.39,87.39,85.76,85.76,85.76,85.22,85.22"
Rec-022_10s_1,1,8,2801,core,332,331,0.0,5.0,0.9906,336,334,340,336,1.0,True,88.8017,92.2753,86.3051,2.0288,88.4761,"92.28,91.19,91.19,91.19,90.65,89.02,89.02,88.48,88.48,88.48,86.31,86.85,86.31,86.31,86.31"
Rec-022_10s_1,1,9,2802,core,336,331,0.0,4.0,0.9875,340,334,344,336,1.0,True,89.9958,94.989,86.8478,2.3129,89.5616,"94.99,93.36,92.28,91.73,91.73,90.10,89.56,89.56,89.56,89.56,87.93,87.93,87.39,87.39,86.85"
Rec-022_10s_1,1,10,2803,core,345,331,0.0,9.0,0.9863,349,334,353,336,1.0,True,90.2852,96.0745,85.7624,2.8352,90.1043,"96.07,94.45,93.36,92.28,91.19,91.19,91.19,90.10,89.56,89.02,87.93,87.93,87.39,86.85,85.76"
Rec-022_10s_1,1,11,2804,core,350,331,0.0,5.0,0.9894,354,334,358,336,0.8,False,83.9532,93.3608,75.9929,5.2758,84.6769,"93.36,91.19,87.93,80.88,77.62,89.56,87.93,85.22,79.79,77.08,86.31,84.68,83.05,78.71,75.99"
Rec-022_10s_1,1,12,2805,core,354,331,0.0,4.0,0.9869,358,334,362,336,0.0,False,76.0291,80.8776,74.3647,1.7555,75.4502,"80.88,77.62,75.99,75.45,74.36,78.16,76.54,75.45,74.91,74.36,77.08,75.99,74.91,74.36,74.36"
Rec-022_10s_1,1,13,2806,core,355,330,45.0,1.41,0.986,359,333,363,335,0.0,False,76.4271,83.0486,73.822,2.2958,75.9929,"83.05,78.71,77.08,75.99,74.91,78.71,77.08,75.45,74.91,74.36,77.08,75.99,74.91,74.36,73.82"
