specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-027_std_2,1,1,1125,core,290,331,0.0,0.0,0.984,293,334,298,336,1.0,True,92.6673,98.2455,87.9333,2.784,92.2753,"98.25,97.16,95.53,95.53,94.99,94.99,92.28,92.28,92.28,92.28,92.28,92.28,87.93,89.02,89.56,90.10,90.65,90.65"
Rec-027_std_2,1,2,1126,core,293,331,0.0,3.0,0.9832,296,334,301,336,1.0,True,94.4463,102.0447,91.1898,3.0435,94.4463,"102.04,99.33,97.70,96.62,95.53,95.53,95.53,94.99,94.45,94.45,93.36,93.36,91.19,91.19,91.19,91.19,91.19,91.19"
Rec-027_std_2,1,3,1127,core,297,331,0.0,4.0,0.9817,300,334,305,336,1.0,True,94.7478,103.1302,91.1898,3.2726,94.4463,"103.13,100.42,98.25,96.62,95.53,94.45,97.16,95.53,94.45,94.45,93.36,92.28,92.28,92.28,91.73,91.19,91.19,91.19"
Rec-027_std_2,1,4,1128,core,302,331,0.0,5.0,0.9845,305,334,310,336,1.0,True,93.9638,100.9592,91.1898,2.621,93.3608,"100.96,98.25,96.62,95.53,94.45,93.36,95.53,94.99,94.45,93.36,92.28,92.28,92.28,92.28,91.19,91.19,91.19,91.19"
Rec-027_std_2,1,5,1129,core,306,331,0.0,4.0,0.9825,309,334,314,336,1.0,True,94.0844,102.0447,90.6471,2.8605,93.3608,"102.04,98.79,96.62,95.53,94.45,93.36,96.07,94.99,94.45,93.36,92.28,92.28,92.28,92.28,91.73,91.19,91.19,90.65"
Rec-027_std_2,1,6,1130,core,311,331,0.0,5.0,0.9854,314,334,319,336,1.0,True,93.3608,99.8737,90.6471,2.3449,92.818,"99.87,97.16,95.53,94.45,93.36,93.36,95.53,93.36,93.36,92.28,92.28,92.28,92.28,91.73,91.19,91.19,90.65,90.65"
Rec-027_std_2,1,7,1131,core,315,331,0.0,4.0,0.9827,318,334,323,336,1.0,True,93.8432,100.9592,91.1898,2.5896,93.3608,"100.96,98.25,96.07,94.99,94.45,94.45,95.53,94.45,93.36,93.36,92.28,92.28,92.28,91.73,91.19,91.19,91.19,91.19"
Rec-027_std_2,1,8,1132,core,320,331,0.0,5.0,0.9855,323,334,328,336,1.0,True,94.0844,99.8737,91.1898,2.2596,93.9035,"99.87,97.70,96.07,95.53,94.99,94.45,95.53,94.45,94.45,93.36,93.36,93.36,92.28,92.28,91.73,91.73,91.19,91.19"
Rec-027_std_2,1,9,1133,core,324,331,0.0,4.0,0.9823,327,334,332,336,1.0,True,94.8383,101.502,91.7325,2.5573,94.4463,"101.50,98.79,97.70,96.62,95.53,94.99,96.07,95.53,94.45,94.45,94.45,93.36,93.36,92.28,92.28,92.28,91.73,91.73"
Rec-027_std_2,1,10,1134,core,329,331,0.0,5.0,0.9854,332,334,337,336,1.0,True,94.7779,100.4165,92.2753,2.2315,94.7176,"100.42,98.25,97.16,96.07,95.53,95.53,96.07,94.99,94.99,94.45,94.45,93.36,93.36,92.28,92.28,92.28,92.28,92.28"
