specimen,layer_index,frame_type,frame_idx,tip_x,tip_y,confidence,delta_x,delta_y,direction_deg,movement_px
Rec-022_10s_1,3,core,3088,347,331,0.9908,5.0,0.0,0.0,5.0
Rec-022_10s_1,3,core,3089,351,331,0.9879,4.0,0.0,0.0,4.0
Rec-022_10s_1,3,core,3090,355,330,0.9908,4.0,-1.0,14.04,4.12
Rec-022_10s_1,3,post,3091,355,330,0.9895,0.0,0.0,0.0,0.0
Rec-022_10s_1,3,post,3092,348,330,0.9933,-7.0,0.0,180.0,7.0
Rec-022_10s_1,3,post,3093,348,330,0.993,0.0,0.0,0.0,0.0
Rec-022_10s_1,3,post,3094,349,330,0.9935,1.0,0.0,0.0,1.0
Rec-022_10s_1,3,post,3095,349,330,0.9871,0.0,0.0,0.0,0.0
Rec-022_10s_1,4,pre,3203,310,330,0.9904,,,,
Rec-022_10s_1,4,pre,3204,306,330,0.9884,-4.0,0.0,180.0,4.0
Rec-022_10s_1,4,pre,3205,301,330,0.9867,-5.0,0.0,180.0,5.0
Rec-022_10s_1,4,pre,3206,297,331,0.9856,-4.0,1.0,-165.96,4.12
Rec-022_10s_1,4,pre,3207,290,331,0.9862,-7.0,0.0,180.0,7.0
Rec-022_10s_1,4,core,3208,290,331,0.9903,0.0,0.0,0.0,0.0
Rec-022_10s_1,4,core,3209,294,331,0.981,4.0,0.0,0.0,4.0
Rec-022_10s_1,4,core,3210,299,331,0.9857,5.0,0.0,0.0,5.0
Rec-022_10s_1,4,core,3211,303,331,0.9843,4.0,0.0,0.0,4.0
Rec-022_10s_1,4,core,3212,308,331,0.9878,5.0,0.0,0.0,5.0
Rec-022_10s_1,4,core,3213,312,331,0.9858,4.0,0.0,0.0,4.0
Rec-022_10s_1,4,core,3214,317,331,0.9894,5.0,0.0,0.0,5.0
Rec-022_10s_1,4,core,3215,322,331,0.9865,5.0,0.0,0.0,5.0
Rec-022_10s_1,4,core,3216,326,331,0.9905,4.0,0.0,0.0,4.0
Rec-022_10s_1,4,core,3217,331,331,0.9883,5.0,0.0,0.0,5.0
Rec-022_10s_1,4,core,3218,335,331,0.9914,4.0,0.0,0.0,4.0
Rec-022_10s_1,4,core,3219,340,331,0.9896,5.0,0.0,0.0,5.0
Rec-022_10s_1,4,core,3220,344,331,0.9914,4.0,0.0,0.0,4.0
Rec-022_10s_1,4,core,3221,349,331,0.9893,5.0,0.0,0.0,5.0
Rec-022_10s_1,4,core,3222,353,331,0.9905,4.0,0.0,0.0,4.0
Rec-022_10s_1,4,core,3223,355,331,0.9884,2.0,0.0,0.0,2.0
Rec-022_10s_1,4,post,3224,355,330,0.991,0.0,-1.0,90.0,1.0
Rec-022_10s_1,4,post,3225,355,330,0.9889,0.0,0.0,0.0,0.0
Rec-022_10s_1,4,post,3226,351,330,0.9933,-4.0,0.0,180.0,4.0
