specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-022_10s_1,1,1,2794,core,290,331,0.0,0.0,0.9846,293,334,300,336,1.0,True,85.785,93.3608,81.9631,3.151,85.2196,"93.36,91.73,90.10,89.56,88.48,88.48,87.93,87.39,86.31,85.76,85.76,85.22,85.22,84.68,84.13,84.13,82.51,82.51,82.51,83.05,83.05,82.51,82.51,81.96"
Rec-022_10s_1,1,2,2795,core,296,331,0.0,6.0,0.9835,299,334,306,336,1.0,True,85.6267,95.5318,80.8776,3.4335,84.6769,"95.53,92.28,90.10,88.48,87.39,86.31,85.76,85.22,89.02,87.39,85.76,85.22,84.13,84.13,83.59,83.05,84.13,84.13,83.59,83.05,82.51,81.96,81.42,80.88"
Rec-022_10s_1,1,3,2796,core,300,331,0.0,4.0,0.9839,303,334,310,336,1.0,True,85.3101,95.5318,80.8776,3.4917,84.4055,"95.53,92.28,89.56,87.93,86.85,85.76,85.22,84.68,89.02,87.39,85.76,84.68,84.13,83.59,83.05,82.51,84.13,83.59,83.05,82.51,82.51,81.96,80.88,80.88"
Rec-022_10s_1,1,4,2797,core,309,331,0.0,9.0,0.9852,312,334,319,336,1.0,True,84.0437,93.3608,80.3349,3.0569,83.0486,"93.36,90.10,87.93,86.31,85.22,84.68,84.13,84.13,86.85,85.22,84.13,83.05,83.05,82.51,81.96,82.51,83.05,82.51,81.96,81.42,80.88,80.88,80.88,80.33"
Rec-022_10s_1,1,5,2798,core,314,331,0.0,5.0,0.987,317,334,324,336,1.0,True,84.0437,91.1898,81.4204,2.4306,83.32,"91.19,89.02,87.39,85.76,85.22,84.68,84.68,84.13,85.76,84.68,84.13,83.59,83.05,83.05,83.05,83.05,83.05,82.51,81.96,81.42,81.42,81.42,81.42,81.42"
Rec-022_10s_1,1,6,2799,core,323,331,0.0,9.0,0.9886,326,334,333,336,1.0,True,86.3955,92.2753,84.1341,2.2083,85.7624,"92.28,90.65,89.02,87.93,87.93,87.93,87.93,87.93,87.93,86.31,85.76,85.76,85.76,85.76,85.76,85.76,84.13,84.13,84.13,84.13,84.13,84.13,84.13,84.13"
Rec-022_10s_1,1,7,2800,core,327,331,0.0,4.0,0.9866,330,334,337,336,1.0,True,87.9786,93.3608,85.2196,2.2263,87.3906,"93.36,92.28,91.19,90.10,89.56,89.56,89.56,89.56,88.48,87.93,87.93,87.39,87.39,87.39,87.39,87.39,85.76,85.76,85.76,85.76,85.22,85.22,85.76,85.76"
Rec-022_10s_1,1,8,2801,core,332,331,0.0,5.0,0.9906,335,334,342,336,1.0,True,88.8831,94.4463,86.3051,2.2171,88.4761,"94.45,92.28,91.19,91.19,91.19,90.65,90.65,90.65,89.56,89.02,89.02,88.48,88.48,88.48,87.93,88.48,86.85,86.31,86.85,86.31,86.31,86.31,86.31,86.31"
Rec-022_10s_1,1,9,2802,core,336,331,0.0,4.0,0.9875,339,334,346,336,1.0,True,89.9912,96.6172,86.8478,2.5359,89.5616,"96.62,94.99,93.36,92.28,91.73,91.73,91.19,91.19,91.19,90.10,89.56,89.56,89.56,89.56,89.02,89.02,87.93,87.93,87.93,87.39,87.39,86.85,86.85,86.85"
Rec-022_10s_1,1,10,2803,core,345,331,0.0,9.0,0.9863,348,334,355,336,1.0,True,89.8329,98.2455,83.5914,3.4075,89.5616,"98.25,96.07,94.45,93.36,92.28,91.19,90.10,89.56,92.28,91.19,91.19,90.10,89.56,89.02,87.93,86.31,88.48,87.93,87.93,87.39,86.85,85.76,85.22,83.59"
