specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-027_std_2,1,1,1125,core,290,331,0.0,0.0,0.984,294,334,298,337,1.0,True,91.3798,97.16,86.8478,3.0135,91.4612,"97.16,95.53,95.53,94.99,94.99,92.28,92.28,92.28,92.28,92.28,89.02,89.56,90.10,90.65,90.65,86.85,87.39,87.93,87.93,87.93"
Rec-027_std_2,1,2,1126,core,293,331,0.0,3.0,0.9832,297,334,301,337,1.0,True,92.8452,99.331,89.0188,3.0629,92.2753,"99.33,97.70,96.62,95.53,95.53,94.99,94.45,94.45,93.36,93.36,91.19,91.19,91.19,91.19,91.19,89.02,89.02,89.56,89.02,89.02"
Rec-027_std_2,1,3,1127,core,297,331,0.0,4.0,0.9817,301,334,305,337,1.0,True,93.0351,100.4165,89.5616,3.0529,92.2753,"100.42,98.25,96.62,95.53,94.45,95.53,94.45,94.45,93.36,92.28,92.28,91.73,91.19,91.19,91.19,89.56,89.56,89.56,89.56,89.56"
Rec-027_std_2,1,4,1128,core,302,331,0.0,5.0,0.9845,306,334,310,337,1.0,True,92.5195,98.2455,89.5616,2.4959,92.2753,"98.25,96.62,95.53,94.45,93.36,94.99,94.45,93.36,92.28,92.28,92.28,91.19,91.19,91.19,91.19,89.56,89.56,89.56,89.56,89.56"
Rec-027_std_2,1,5,1129,core,306,331,0.0,4.0,0.9825,310,334,314,337,1.0,True,92.6009,98.7882,89.5616,2.5072,92.2753,"98.79,96.62,95.53,94.45,93.36,94.99,94.45,93.36,92.28,92.28,92.28,91.73,91.19,91.19,90.65,90.10,90.10,89.56,89.56,89.56"
Rec-027_std_2,1,6,1130,core,311,331,0.0,5.0,0.9854,315,334,319,337,1.0,True,92.0039,97.16,89.0188,2.1264,92.0039,"97.16,95.53,94.45,93.36,93.36,93.36,93.36,92.28,92.28,92.28,91.73,91.19,91.19,90.65,90.65,89.56,89.56,89.56,89.56,89.02"
Rec-027_std_2,1,7,1131,core,315,331,0.0,4.0,0.9827,319,334,323,337,1.0,True,92.4652,98.2455,89.5616,2.3425,92.0039,"98.25,96.07,94.99,94.45,94.45,94.45,93.36,93.36,92.28,92.28,91.73,91.19,91.19,91.19,91.19,90.10,90.10,89.56,89.56,89.56"
Rec-027_std_2,1,8,1132,core,320,331,0.0,5.0,0.9855,324,334,328,337,1.0,True,92.8452,97.7027,89.5616,2.2145,92.818,"97.70,96.07,95.53,94.99,94.45,94.45,94.45,93.36,93.36,93.36,92.28,91.73,91.73,91.19,91.19,90.65,90.65,90.10,90.10,89.56"
Rec-027_std_2,1,9,1133,core,324,331,0.0,4.0,0.9823,328,334,332,337,1.0,True,93.5236,98.7882,90.6471,2.3912,92.818,"98.79,97.70,96.62,95.53,94.99,95.53,94.45,94.45,94.45,93.36,92.28,92.28,92.28,91.73,91.73,91.19,91.19,90.65,90.65,90.65"
Rec-027_std_2,1,10,1134,core,329,331,0.0,5.0,0.9854,333,334,337,337,1.0,True,93.5236,98.2455,90.6471,2.2319,92.818,"98.25,97.16,96.07,95.53,95.53,94.99,94.99,94.45,94.45,93.36,92.28,92.28,92.28,92.28,92.28,91.19,91.19,90.65,90.65,90.65"
Rec-027_std_2,1,11,1135,core,334,331,0.0,5.0,0.9821,338,334,342,337,1.0,True,93.4965,98.2455,90.1043,2.2697,92.818,"98.25,97.16,96.07,96.07,95.53,94.99,94.45,94.45,94.45,93.36,92.28,92.28,92.28,92.28,91.73,91.19,91.19,91.19,90.65,90.10"
Rec-027_std_2,1,12,1136,core,338,331,0.0,4.0,0.985,342,334,346,337,1.0,True,93.7407,98.7882,90.1043,2.4818,93.3608,"98.79,98.25,96.62,96.07,95.53,95.53,95.53,94.45,94.45,93.36,93.36,92.28,92.28,92.28,91.73,91.19,91.19,91.19,90.65,90.10"
Rec-027_std_2,1,13,1137,core,343,331,0.0,5.0,0.9822,347,334,351,337,1.0,True,92.3024,97.7027,87.9333,2.5715,92.0039,"97.70,96.62,95.53,94.45,93.36,94.45,94.45,93.36,92.28,91.19,92.28,91.73,91.19,90.65,89.56,90.65,90.10,89.56,89.02,87.93"
Rec-027_std_2,1,14,1138,core,347,331,0.0,4.0,0.984,351,334,355,337,1.0,True,89.3987,96.0745,84.1341,2.9384,89.2902,"96.07,94.45,92.28,91.19,89.56,92.28,91.19,90.65,89.02,87.93,90.10,89.56,88.48,86.85,85.76,88.48,87.93,86.85,85.22,84.13"
Rec-027_std_2,1,15,1139,core,355,331,0.0,8.0,0.9817,359,334,363,337,0.0,False,76.3729,79.7922,74.9074,1.1779,75.9929,"79.79,78.16,77.08,75.99,75.99,78.16,77.08,75.99,75.99,75.45,77.08,75.99,75.99,75.99,75.45,75.99,75.99,75.45,74.91,74.91"
Rec-027_std_2,2,1,1285,core,290,331,0.0,0.0,0.984,294,334,298,337,1.0,True,91.5426,97.16,87.3906,2.8476,91.4612,"97.16,95.53,95.53,94.99,94.99,92.28,92.28,92.28,92.28,92.28,89.56,89.56,90.65,90.65,90.65,87.39,87.93,87.93,88.48,88.48"
Rec-027_std_2,2,2,1286,core,294,331,0.0,4.0,0.981,298,334,302,337,1.0,True,92.4652,98.2455,89.0188,2.5931,92.0039,"98.25,96.62,95.53,94.99,94.45,94.45,93.36,93.36,93.36,92.28,91.73,91.19,91.19,91.19,90.65,89.56,89.56,89.56,89.02,89.02"
Rec-027_std_2,2,3,1287,core,298,331,0.0,4.0,0.9844,302,334,306,337,1.0,True,92.6823,99.331,89.0188,2.7401,92.2753,"99.33,97.16,95.53,94.99,94.45,94.99,94.45,93.36,92.28,92.28,92.28,91.73,91.19,91.19,91.19,89.56,89.56,89.56,89.56,89.02"
Rec-027_std_2,2,4,1288,core,302,331,0.0,4.0,0.9814,306,334,310,337,1.0,True,92.8452,99.8737,89.5616,2.8435,92.2753,"99.87,97.70,96.07,94.99,94.45,95.53,94.45,93.36,92.28,92.28,92.28,91.73,91.19,91.19,91.19,90.10,89.56,89.56,89.56,89.56"
Rec-027_std_2,2,5,1289,core,307,331,0.0,5.0,0.9855,311,334,315,337,1.0,True,92.4652,98.2455,89.5616,2.3362,92.2753,"98.25,96.07,94.99,94.45,93.36,94.99,93.36,93.36,92.28,92.28,92.28,91.73,91.19,91.19,90.65,90.10,90.10,89.56,89.56,89.56"
Rec-027_std_2,2,6,1290,core,312,331,0.0,5.0,0.9829,316,334,320,337,1.0,True,92.221,96.6172,89.5616,2.1083,92.0039,"96.62,95.53,94.45,94.45,93.36,94.45,93.36,93.36,92.28,92.28,91.73,91.19,91.19,91.19,91.19,89.56,89.56,89.56,89.56,89.56"
Rec-027_std_2,2,7,1291,core,321,331,0.0,9.0,0.9842,325,334,329,337,1.0,True,93.2794,98.2455,90.1043,2.1931,92.818,"98.25,96.62,95.53,95.53,94.99,94.99,94.45,94.45,93.36,93.36,92.28,92.28,92.28,92.28,91.73,91.19,90.65,90.65,90.65,90.10"
Rec-027_std_2,2,8,1292,core,330,331,0.0,9.0,0.9848,334,334,338,337,1.0,True,93.9849,98.7882,91.1898,2.3299,93.9035,"98.79,97.70,96.62,96.62,96.07,95.53,94.99,94.99,94.45,94.45,93.36,93.36,92.28,92.28,92.28,91.19,91.19,91.19,91.19,91.19"
Rec-027_std_2,2,9,1293,core,334,331,0.0,4.0,0.9862,338,334,342,337,1.0,True,94.5005,99.8737,91.1898,2.5682,94.1749,"99.87,98.25,98.25,97.16,96.62,96.07,95.53,95.53,94.99,94.99,93.36,93.36,93.36,93.36,92.28,91.73,91.73,91.19,91.19,91.19"
Rec-027_std_2,2,10,1294,core,339,331,0.0,5.0,0.9851,343,334,347,337,1.0,True,94.0121,99.331,90.1043,2.64,93.9035,"99.33,98.25,97.70,96.62,96.07,95.53,95.53,94.99,94.45,94.45,93.36,93.36,92.28,92.28,91.73,91.19,91.19,91.19,90.65,90.10"
Rec-027_std_2,2,11,1295,core,343,331,0.0,4.0,0.985,347,334,351,337,1.0,True,93.0623,99.331,88.4761,2.8999,92.818,"99.33,97.70,96.62,95.53,94.45,95.53,94.99,94.45,93.36,92.28,93.36,92.28,91.19,91.19,90.10,91.19,90.10,89.56,89.56,88.48"
Rec-027_std_2,2,12,1296,core,352,331,0.0,9.0,0.9828,356,334,360,337,0.4,False,79.5751,90.1043,75.4502,3.9639,78.1639,"90.10,83.05,78.71,77.62,76.54,86.85,81.42,78.71,77.08,75.99,84.68,80.33,77.62,76.54,75.99,83.05,78.71,77.08,75.99,75.45"
Rec-027_std_2,2,13,1297,core,355,331,0.0,3.0,0.9813,359,334,363,337,0.0,False,76.5357,80.3349,74.9074,1.2257,75.9929,"80.33,78.16,77.08,75.99,75.99,78.16,77.08,75.99,75.99,75.45,77.62,76.54,75.99,75.99,75.45,76.54,75.99,75.99,75.45,74.91"
Rec-027_std_2,3,1,1450,core,291,331,0.0,1.0,0.9837,295,334,299,337,1.0,True,92.4381,98.2455,87.9333,2.9081,92.2753,"98.25,97.16,96.07,95.53,95.53,93.36,93.36,93.36,93.36,93.36,90.65,91.19,91.19,91.19,91.19,87.93,89.02,89.02,89.02,89.02"
Rec-027_std_2,3,2,1451,core,295,331,0.0,4.0,0.9828,299,334,303,337,1.0,True,93.1165,100.9592,89.5616,3.1201,92.2753,"100.96,98.25,96.62,95.53,94.99,95.53,94.45,94.45,93.36,92.28,92.28,91.73,91.73,91.19,91.19,89.56,89.56,89.56,89.56,89.56"
Rec-027_std_2,3,3,1452,core,300,331,0.0,5.0,0.9848,304,334,308,337,1.0,True,92.8723,98.7882,89.5616,2.591,92.2753,"98.79,97.16,95.53,94.99,94.45,94.99,94.45,94.45,93.36,92.28,92.28,91.73,91.73,91.19,91.19,90.10,90.10,89.56,89.56,89.56"
Rec-027_std_2,3,4,1453,core,304,331,0.0,4.0,0.9841,308,334,312,337,1.0,True,92.8994,99.331,89.5616,2.627,92.2753,"99.33,97.16,95.53,94.99,94.45,95.53,94.45,93.36,93.36,92.28,92.28,91.73,91.73,91.19,91.19,90.10,90.10,90.10,89.56,89.56"
Rec-027_std_2,3,5,1454,core,309,331,0.0,5.0,0.9859,313,334,317,337,1.0,True,92.4381,97.7027,89.5616,2.2516,92.2753,"97.70,95.53,94.99,94.45,94.45,94.45,93.36,93.36,92.28,92.28,92.28,91.73,91.19,91.19,91.19,90.10,89.56,89.56,89.56,89.56"
Rec-027_std_2,3,6,1455,core,318,331,0.0,9.0,0.9864,322,334,326,337,1.0,True,92.8995,97.7027,90.1043,2.0255,92.818,"97.70,96.07,94.99,94.99,94.45,94.45,93.36,93.36,93.36,93.36,92.28,92.28,91.73,91.73,91.19,90.65,90.65,90.65,90.65,90.10"
Rec-027_std_2,3,7,1456,core,322,331,0.0,4.0,0.9836,326,334,330,337,1.0,True,93.6593,98.7882,90.6471,2.2409,93.3608,"98.79,97.16,96.07,95.53,95.53,95.53,94.45,94.45,94.45,94.45,92.28,92.28,92.28,92.28,92.28,91.19,91.19,91.19,91.19,90.65"
Rec-027_std_2,3,8,1457,core,327,331,0.0,5.0,0.9862,331,334,335,337,1.0,True,93.7678,98.2455,90.6471,2.1633,93.9035,"98.25,97.16,96.07,96.07,95.53,95.53,94.45,94.45,94.45,94.45,93.36,93.36,92.28,92.28,92.28,91.19,91.19,91.19,91.19,90.65"
Rec-027_std_2,3,9,1458,core,331,331,0.0,4.0,0.9832,335,334,339,337,1.0,True,94.1478,99.331,91.1898,2.4482,93.9035,"99.33,98.25,97.16,96.62,96.07,95.53,95.53,94.99,94.45,94.45,93.36,93.36,93.36,92.28,92.28,91.19,91.19,91.19,91.19,91.19"
Rec-027_std_2,3,10,1459,core,336,331,0.0,5.0,0.9863,340,334,344,337,1.0,True,94.1749,98.7882,90.6471,2.3564,93.9035,"98.79,97.70,97.16,96.62,96.62,95.53,95.53,94.99,94.99,94.45,93.36,93.36,93.36,92.28,92.28,91.73,91.73,91.19,91.19,90.65"
Rec-027_std_2,3,11,1460,core,341,331,0.0,5.0,0.9828,345,334,349,337,1.0,True,93.3608,98.2455,89.5616,2.6198,93.3608,"98.25,97.70,96.62,96.07,95.53,95.53,94.99,94.45,93.36,93.36,93.36,92.28,92.28,91.19,91.19,91.19,90.65,90.10,89.56,89.56"
Rec-027_std_2,3,12,1461,core,345,331,0.0,4.0,0.9854,349,334,353,337,1.0,True,91.6511,98.2455,86.3051,3.0232,91.1898,"98.25,96.62,95.53,94.45,92.28,94.45,93.36,92.28,91.19,90.65,92.28,91.19,90.65,89.56,87.93,90.10,89.56,88.48,87.93,86.31"
Rec-027_std_2,3,13,1462,core,350,331,0.0,5.0,0.9809,354,334,358,337,0.8,False,84.107,94.4463,76.5357,5.0696,84.4055,"94.45,91.73,87.93,81.96,78.16,90.65,89.02,85.76,80.88,77.62,87.93,86.31,84.13,79.79,77.62,85.76,84.68,82.51,78.71,76.54"
Rec-027_std_2,3,14,1463,core,354,331,0.0,4.0,0.9831,358,334,362,337,0.0,False,76.7799,80.8776,74.9074,1.3888,76.2643,"80.88,78.16,77.08,76.54,75.99,78.71,77.62,76.54,75.99,75.99,78.16,77.08,75.99,75.45,75.45,77.62,75.99,75.99,75.45,74.91"
Rec-027_std_2,4,1,1612,core,290,331,0.0,0.0,0.9849,294,334,298,337,1.0,True,91.6783,97.7027,87.3906,2.9223,91.4612,"97.70,95.53,95.53,95.53,95.53,92.28,92.28,92.28,92.28,92.28,89.56,90.10,90.65,90.65,90.65,87.39,87.93,88.48,88.48,88.48"
Rec-027_std_2,4,2,1613,core,293,331,0.0,3.0,0.9841,297,334,301,337,1.0,True,92.9537,99.8737,89.0188,3.0407,92.5467,"99.87,98.25,96.62,95.53,95.53,94.99,94.45,93.36,93.36,93.36,91.19,91.73,91.19,91.19,91.19,89.56,89.56,89.56,89.56,89.02"
