specimen,layer_index,frame_type,frame_idx,tip_x,tip_y,confidence,delta_x,delta_y,direction_deg,movement_px
Rec-027_std_2,4,pre,1610,290,331,0.9859,0.0,1.0,-90.0,1.0
Rec-027_std_2,4,pre,1611,290,331,0.9885,0.0,0.0,0.0,0.0
Rec-027_std_2,4,core,1612,290,331,0.9849,0.0,0.0,0.0,0.0
Rec-027_std_2,4,core,1613,293,331,0.9841,3.0,0.0,0.0,3.0
Rec-027_std_2,4,core,1614,298,331,0.9824,5.0,0.0,0.0,5.0
Rec-027_std_2,4,core,1615,302,331,0.9854,4.0,0.0,0.0,4.0
Rec-027_std_2,4,core,1616,307,331,0.9826,5.0,0.0,0.0,5.0
Rec-027_std_2,4,core,1617,311,331,0.9865,4.0,0.0,0.0,4.0
Rec-027_std_2,4,core,1618,316,331,0.9841,5.0,0.0,0.0,5.0
Rec-027_std_2,4,core,1619,320,331,0.9864,4.0,0.0,0.0,4.0
Rec-027_std_2,4,core,1620,325,331,0.984,5.0,0.0,0.0,5.0
Rec-027_std_2,4,core,1621,329,331,0.9865,4.0,0.0,0.0,4.0
Rec-027_std_2,4,core,1622,338,331,0.9862,9.0,0.0,0.0,9.0
Rec-027_std_2,4,core,1623,343,331,0.9849,5.0,0.0,0.0,5.0
Rec-027_std_2,4,core,1624,347,331,0.9847,4.0,0.0,0.0,4.0
Rec-027_std_2,4,core,1625,355,331,0.9831,8.0,0.0,0.0,8.0
Rec-027_std_2,4,post,1626,355,330,0.9906,0.0,-1.0,90.0,1.0
Rec-027_std_2,4,post,1627,355,330,0.9907,0.0,0.0,0.0,0.0
Rec-027_std_2,4,post,1628,352,330,0.9882,-3.0,0.0,180.0,3.0
Rec-027_std_2,4,post,1629,350,330,0.9882,-2.0,0.0,180.0,2.0
Rec-027_std_2,4,post,1630,348,330,0.987,-2.0,0.0,180.0,2.0
Rec-027_std_2,5,pre,1762,290,330,0.9866,,,,
Rec-027_std_2,5,pre,1763,290,330,0.9831,0.0,0.0,0.0,0.0
Rec-027_std_2,5,pre,1764,290,331,0.9883,0.0,1.0,-90.0,1.0
Rec-027_std_2,5,pre,1765,290,331,0.9894,0.0,0.0,0.0,0.0
Rec-027_std_2,5,pre,1766,290,331,0.9875,0.0,0.0,0.0,0.0
Rec-027_std_2,5,core,1767,291,331,0.9833,1.0,0.0,0.0,1.0
Rec-027_std_2,5,core,1768,304,331,0.9855,13.0,0.0,0.0,13.0
Rec-027_std_2,5,core,1769,309,331,0.9841,5.0,0.0,0.0,5.0
Rec-027_std_2,5,core,1770,322,331,0.9864,13.0,0.0,0.0,13.0
Rec-027_std_2,5,core,1771,327,331,0.9858,5.0,0.0,0.0,5.0
Rec-027_std_2,5,core,1772,331,331,0.9866,4.0,0.0,0.0,4.0
Rec-027_std_2,5,core,1773,336,331,0.9861,5.0,0.0,0.0,5.0
Rec-027_std_2,5,core,1774,345,331,0.9853,9.0,0.0,0.0,9.0
Rec-027_std_2,5,core,1775,354,331,0.9833,9.0,0.0,0.0,9.0
Rec-027_std_2,5,post,1776,355,330,0.9913,1.0,-1.0,45.0,1.41
Rec-027_std_2,5,post,1777,343,331,0.9807,-12.0,1.0,-175.24,12.04
Rec-027_std_2,5,post,1778,341,331,0.9895,-2.0,0.0,180.0,2.0
Rec-027_std_2,5,post,1779,341,331,0.9876,0.0,0.0,0.0,0.0
Rec-027_std_2,5,post,1780,340,330,0.9884,-1.0,-1.0,135.0,1.41
Rec-027_std_2,6,pre,1905,294,330,0.9899,,,,
Rec-027_std_2,6,pre,1906,291,330,0.9899,-3.0,0.0,180.0,3.0
Rec-027_std_2,6,pre,1907,290,331,0.9857,-1.0,1.0,-135.0,1.41
Rec-027_std_2,6,pre,1908,290,331,0.9892,0.0,0.0,0.0,0.0
Rec-027_std_2,6,pre,1909,290,331,0.9888,0.0,0.0,0.0,0.0
Rec-027_std_2,6,core,1910,290,331,0.9857,0.0,0.0,0.0,0.0
Rec-027_std_2,6,core,1911,293,331,0.9822,3.0,0.0,0.0,3.0
Rec-027_std_2,6,core,1912,302,331,0.9839,9.0,0.0,0.0,9.0
Rec-027_std_2,6,core,1913,316,331,0.9874,14.0,0.0,0.0,14.0
Rec-027_std_2,6,core,1914,321,331,0.9839,5.0,0.0,0.0,5.0
Rec-027_std_2,6,core,1915,325,331,0.9874,4.0,0.0,0.0,4.0
Rec-027_std_2,6,core,1916,334,331,0.9872,9.0,0.0,0.0,9.0
Rec-027_std_2,6,core,1917,343,331,0.9863,9.0,0.0,0.0,9.0
Rec-027_std_2,6,core,1918,348,331,0.9831,5.0,0.0,0.0,5.0
Rec-027_std_2,6,core,1919,352,331,0.9844,4.0,0.0,0.0,4.0
Rec-027_std_2,6,core,1920,355,331,0.9822,3.0,0.0,0.0,3.0
Rec-027_std_2,6,core,1921,355,330,0.9917,0.0,-1.0,90.0,1.0
Rec-027_std_2,6,post,1922,355,330,0.9915,0.0,0.0,0.0,0.0
Rec-027_std_2,6,post,1923,349,330,0.9776,-6.0,0.0,180.0,6.0
Rec-027_std_2,6,post,1924,341,330,0.9952,-8.0,0.0,180.0,8.0
Rec-027_std_2,6,post,1925,342,330,0.9952,1.0,0.0,0.0,1.0
Rec-027_std_2,6,post,1926,346,330,0.9937,4.0,0.0,0.0,4.0
Rec-027_std_2,7,pre,2053,301,330,0.9906,,,,
Rec-027_std_2,7,pre,2054,296,330,0.9906,-5.0,0.0,180.0,5.0
Rec-027_std_2,7,pre,2055,292,330,0.9891,-4.0,0.0,180.0,4.0
Rec-027_std_2,7,pre,2056,290,331,0.9845,-2.0,1.0,-153.43,2.24
Rec-027_std_2,7,pre,2057,290,331,0.9888,0.0,0.0,0.0,0.0
Rec-027_std_2,7,core,2058,290,331,0.9897,0.0,0.0,0.0,0.0
Rec-027_std_2,7,core,2059,297,331,0.983,7.0,0.0,0.0,7.0
Rec-027_std_2,7,core,2060,301,331,0.9868,4.0,0.0,0.0,4.0
Rec-027_std_2,7,core,2061,305,331,0.9839,4.0,0.0,0.0,4.0
Rec-027_std_2,7,core,2062,310,331,0.9879,5.0,0.0,0.0,5.0
Rec-027_std_2,7,core,2063,315,331,0.9849,5.0,0.0,0.0,5.0
Rec-027_std_2,7,core,2064,319,331,0.9878,4.0,0.0,0.0,4.0
Rec-027_std_2,7,core,2065,324,331,0.9853,5.0,0.0,0.0,5.0
