specimen,pause_group,n_layers,fit_success,T1,T2,T3,T4,T5,T6,t1_s,t2_s,t3_s,t4_s,t5_s,t6_s,T0_roi,A_roi,alpha_roi,T_inf_roi,heating_rate_t0,sigma_T0,sigma_A,sigma_alpha,roi_std_mean
Rec-022_10s_1,10s,6,True,94.2094,97.5843,99.7148,100.6762,101.428,101.0794,29.3333,78.6667,123.5,167.8333,213.0,259.1667,90.4583,11.3482,0.013425,101.8065,0.152345,6.0397,4.787,0.015527,4.9814
Rec-024_90s_1,90s,6,True,88.3926,96.3041,97.8547,99.1177,99.6325,101.8276,28.6667,76.0,124.5,170.5,214.6667,260.6667,80.737,20.193,0.017731,100.93,0.358049,8.9109,8.1861,0.010592,4.9667
Rec-025_30s_1,30s,6,True,89.6972,96.581,98.2003,99.8783,101.7984,102.6763,27.1667,77.1667,123.1667,165.8333,211.0,253.0,84.8802,18.6966,0.0112,103.5769,0.209409,3.2153,2.3749,0.00612,4.997
Rec-026_60s_2,60s,6,True,86.3692,93.0769,96.3622,98.3749,99.4356,100.4559,28.6667,74.0,121.5,166.3333,212.8333,260.6667,79.8707,21.0398,0.01299,100.9106,0.273301,3.586,2.744,0.005502,4.6189
Rec-028_30s_2,30s,6,True,88.9437,94.7678,97.1896,98.3308,99.4232,99.6069,29.6667,77.6667,125.0,171.1667,217.5,263.8333,82.8641,16.982,0.015241,99.8461,0.258824,5.2768,4.6557,0.007008,4.6278
Rec-029_10s_2,10s,6,True,93.5055,97.0605,99.6783,100.629,101.4477,101.8927,30.1667,78.1667,123.5,171.1667,217.8333,261.8333,89.6609,12.8894,0.011361,102.5504,0.146434,5.372,4.287,0.008949,4.2345
Rec-030_90s_2,90s,6,True,86.113,93.4919,97.2291,98.8262,99.2707,100.5703,26.6667,74.5,120.6667,165.5,214.3333,259.1667,78.8447,21.73,0.015221,100.5747,0.330759,4.9103,4.161,0.006161,4.7011
Rec-031_30s_3,30s,6,True,89.4711,94.894,98.1912,98.7423,99.8828,101.2939,27.8333,76.5,123.3333,170.0,217.5,266.5,84.7212,16.7542,0.012175,101.4754,0.203981,3.6623,3.0065,0.005637,4.6968
Rec-032_30s_4,30s,6,True,89.1668,95.0642,97.7691,98.9737,99.9823,101.1341,26.0,72.0,119.0,166.5,212.8333,259.0,84.2765,16.8144,0.01357,101.0909,0.22817,3.7133,3.0381,0.00642,4.5126
Rec-G3_S60_1,60s,6,True,85.2118,91.7907,95.3002,97.2453,98.6182,99.3232,34.5,92.1667,148.6667,204.1667,260.6667,316.5,79.2306,21.0207,0.00975,100.2513,0.204942,7.6134,5.9584,0.008614,3.4979
