specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,hr_t7,hr_t8,hr_t9,hr_t10,hr_t11,hr_t12,hr_t13,hr_t14,hr_t15,hr_t16,hr_t17,hr_t18,hr_t19,hr_t20,hr_t21,hr_t22,hr_t23,hr_t24,hr_t25,hr_t26,hr_t27,hr_t28,hr_t29,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
Rec-027_std_2,0.0,2.5,29,95.07311569407196,5048.699083894722,1.0000000089004464e-06,5143.772199588794,6214.434985995617,0.005048699128830398,0.005048699128830398,0.005048432396270298,0.005048153898762585,0.0050478804644962134,0.005047623870425472,0.005047383272753131,0.0050471300687079486,0.005046870148200108,0.005046613605485806,0.005046366327475297,0.0050461199026010355,0.005045884422498063,0.0050456565218630805,0.0050454176997710865,0.005045191501946173,0.005044950179388859,0.005044713913085967,0.005044507084053715,0.005044295219203491,0.005044071593737184,0.005043860587820539,0.005043644547083677,0.0050434327184592466,0.005043219217658063,0.005043014130911512,0.005042815776254931,0.00504262079114625,0.005042427494385747,0.005042235885779842,6.791574999999995,0.5788301062769389,3531707.359064309,0.0006999593564385136,False,4.7204305686488395,1.235499179712805,,,95.07311569407196,95.1344,95.7137,95.776275,95.17167692307693,96.367075,96.4858125,96.22976153846153,96.56776666666667,96.82642222222222,97.59722222222223,97.3686,97.74029285714285,98.31521111111111,98.2780923076923,98.68986,99.02306923076922,98.86315,99.30190000000002,99.17495000000001,99.11611666666666,99.78501538461539,99.41409,99.92095714285713,100.10268333333335,100.96345833333334,101.8136125,101.720325,102.06731666666666,101.925975
Rec-G3_std_1,0.0,3.25,22,97.48100765491125,4520.696208926604,1.0000000047718054e-06,4618.1772165815155,,0.004520696230498487,0.004520696230498487,0.004520455133127697,0.004520206514931252,0.004519969210317386,0.00451972061884596,0.004519478820259868,0.004519246826300551,0.004519007312564783,0.004518773836550703,0.004518554681333141,0.004518324240919574,0.0045180998363872965,0.004517870172148533,0.004517651813699542,0.00451743271289877,0.004517209105512742,0.004516999813005169,0.004516795799786641,0.004516585020899857,0.004516382531876284,0.004516180804627506,0.004516030267775595,,,,,,,,3.758769230769232,1.3317009242386124,11054461.819355527,0.002446571873439255,False,4.677924786992924,1.3945804601284668,,,97.48100765491125,97.4952923076923,97.84626923076925,98.06674615384617,98.74300833333335,98.355725,98.48685384615383,99.03495454545454,99.1379,99.57886153846152,99.07416428571428,99.69563571428573,99.68352142857144,99.93243076923076,100.27687692307693,100.58122857142858,100.84046923076924,101.4784692307692,101.835525,103.28284285714287,102.21953076923076,102.62920769230769,101.25406153846153,,,,,,,
STD_OLS_global,,,51,95.58427876444492,4771.3310685956385,1.000000000327972e-06,4866.915347360084,,0.004771331070160502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.791574999999995,0.5288535687935224,3288507.9810156794,0.0006896407748149912,False,,,,,95.58427876444492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
