specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,hr_t7,hr_t8,hr_t9,hr_t10,hr_t11,hr_t12,hr_t13,hr_t14,hr_t15,hr_t16,hr_t17,hr_t18,hr_t19,hr_t20,hr_t21,hr_t22,hr_t23,hr_t24,hr_t25,hr_t26,hr_t27,hr_t28,hr_t29,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
Rec-027_std_2,0.0,2.5,29,92.70076880824638,4952.506299185659,1.0000000314345317e-06,5045.207067993906,,0.004952506454865375,0.004952506454865375,0.004952244804344781,0.004951971613033416,0.004951703388493758,0.004951451683294493,0.004951214844512636,0.004950967289951544,0.004950712321693586,0.00495046066687227,0.004950217275198592,0.004949975545483004,0.004949745376964363,0.0049495209935862825,0.004949287546677579,0.004949064833742057,0.004948828933933223,0.004948597169198064,0.0049483942808669894,0.004948185627967384,0.0049479662632602684,0.004947759277661228,0.004947548177762241,0.00494734038509592,0.00494713095211273,0.004946929772871693,0.004946734372998695,0.004946543927385449,0.004946353489104219,0.0049461655312369466,6.690624725274745,0.5413257664759279,3877823.7085479647,0.0007834559078163801,False,3.43896377869342,0.2409998990331654,,,92.70076880824638,92.88912142857141,93.3217090909091,93.44183333333332,93.00766153846152,93.994,93.58943333333335,93.96787692307693,94.35016666666665,94.62466666666667,94.64075,94.74438181818182,95.37992142857145,95.45261,95.90403076923077,95.85040909090908,96.58941538461536,96.61160833333332,97.0873,96.52064545454546,96.02605714285714,97.21814999999997,97.54898,97.86265714285716,97.87989166666667,98.80520833333334,98.75306666666665,99.3140125,99.3396846153846,99.57974615384616
Rec-G3_std_1,0.0,3.25,22,95.35565217092214,4803.048776785659,1.0000000261315856e-06,4898.404428956582,,0.004803048902296939,0.004803048902296939,0.004802792746513004,0.004802527799747747,0.004802276474029406,0.004802011555744397,0.004801755455284137,0.004801508171239347,0.0048012544982522585,0.00480100563967057,0.00480077359666634,0.004800528763449812,0.004800290343102484,0.004800045534531261,0.004799813537930992,0.004799581552543623,0.0047993431792399364,0.004799121614671859,0.004798904059417599,0.0047986809155611395,0.004798465779517139,0.004798250653118189,0.004798090714091237,,,,,,,,4.127363736263732,1.3011736992216538,11113934.179463688,0.0023151304792619347,False,3.7369755130316107,0.4794008992335877,,,95.35565217092214,95.4152076923077,95.87794615384615,95.91619999999999,96.5984166666667,96.31282307692308,96.45373846153845,96.78308333333332,97.05387692307694,97.42652142857143,97.2553142857143,97.68819285714287,97.71406428571427,97.99995,98.24387142857141,98.58792857142858,98.82053571428573,99.68410000000002,99.7710923076923,100.78315,100.50866153846155,100.68462142857142,99.54257142857143,,,,,,,
STD_OLS_global,,,51,93.2030249241951,4882.9584912064465,1.0000000002597263e-06,4976.161516130642,,0.00488295849247468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.690624725274745,0.49803622531811026,3605348.2080399594,0.0007387746335638759,False,,,,,93.2030249241951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
