specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6
Rec-022_10s_1,10,2.5,6,82.13135576012864,12.063952152601205,0.013135783776663312,94.19530791272985,260.82690577246774,0.15846946696858136,0.10803280278719536,0.056509169152481525,0.03135839261333838,0.01751624712643593,0.009677748586573762,0.0052771909504271035,7.87708538461537,5.340207585309959,4.483324576039061,0.0102229563451192,True,2.9699590363452923,0.24426711703000012,68.711,1.303,82.13135576012864,85.97543,89.88119,91.78976153846153,92.95875384615384,93.32860000000001,93.85251538461537
Rec-024_90s_1,90,1.75,6,73.20117748823967,21.03289445072956,0.011799573849739963,94.23407193896922,328.3809212407807,0.2481791913451693,0.17730353951128838,0.10142808387096473,0.05711713085890106,0.0333233009628208,0.019749781741680288,0.011454646407898603,14.59612051282052,6.3850654114096885,5.26603599836603,0.006475137449916686,True,3.3633112566479526,0.3244161629670593,65.416,2.467,73.20117748823967,78.81723333333333,86.23308333333334,88.9143,91.184775,92.312975,93.41335384615385
Rec-025_30s_1,30,1.75,6,76.55074528964164,19.154934769688964,0.010530651780214945,95.7056800593306,348.2647200770193,0.20171394793232625,0.15152761532995218,0.08965692190275709,0.055234094990187985,0.0353051104287804,0.021903318991101765,0.014074305115401413,13.279150000000001,3.414143168622815,2.6504383710313077,0.004735004116879181,True,2.8718046520779876,0.4120115885231798,67.051,1.965,76.55074528964164,81.17515,87.67750000000001,90.47893636363636,91.85316,93.71423333333333,94.4543
Rec-026_60s_2,60,2.0,6,70.78040482781985,22.67784770187153,0.012281941443211914,93.45825252969138,324.8771786226446,0.27852799753246404,0.19586707936804437,0.11247173071079004,0.06275948292748366,0.03611189541707957,0.02044133419904315,0.011359709469493207,15.175833636363635,3.5483572749061185,2.8938675239167186,0.003863701403310841,True,2.967566872256653,0.23980552692610288,64.007,2.429,70.78040482781985,77.45123636363637,84.44235,88.28845555555556,90.48315384615384,91.71706923076925,92.62707
Rec-028_30s_2,30,1.75,6,73.99792605264186,18.836682931702143,0.012825511390455412,92.834608984344,300.01504315068365,0.2415900914989429,0.16548654082560385,0.08941293159671358,0.048724944903903604,0.02695260640902898,0.01484545452481724,0.008194351138768154,12.159816666666657,5.402116118697367,4.642868143807615,0.005865361990212604,True,2.923583113021129,0.36091712327377157,64.356,1.958,73.99792605264186,79.95800000000001,85.8394,89.02686,90.68726153846153,91.85717,92.11781666666667
Rec-029_10s_2,10,2.5,6,82.13040517633263,13.253022669324988,0.011371539497598624,95.38342784565762,296.87653564424255,0.15070727074679904,0.10714608310863297,0.062075989406208266,0.03707153704416336,0.02155927453617554,0.012681373377255238,0.007688967550248088,8.32980909090908,5.409470758137054,4.325506867130093,0.00854445480813102,True,2.7854328212842105,0.3025130312709056,70.217,1.174,82.13040517633263,86.11869090909092,89.70411818181819,92.20158888888889,93.43021818181819,94.4619,94.4485
Rec-030_90s_2,90,1.75,6,71.21367440024122,22.243075777279746,0.011695635951124671,93.45675017752096,335.3259670671582,0.2601469167243433,0.19081649041791876,0.10926981633113925,0.06355606334086603,0.037621212686163925,0.021210193612484766,0.012579604656283388,15.397587878787874,4.6321359085442095,3.8868216154627664,0.0042957275334545115,True,3.1265086137834452,0.3882054743632107,63.943,2.541,71.21367440024122,77.05496666666666,84.2467,87.97957,90.25173333333333,91.54047777777777,92.45255454545453
Rec-031_30s_3,30,1.75,6,75.34156130523056,19.256219416134556,0.010374761393953533,94.59778072136511,352.5685000274863,0.19977868179201122,0.14993098639940716,0.09033643940220557,0.05566688157828159,0.034243635609200115,0.020956077222002437,0.012582868567296792,12.75326136363634,3.8976507063589017,2.9863408760358845,0.004129656293218947,True,2.773507609025278,0.4244499957152767,65.816,1.854,75.34156130523056,80.61086363636365,85.63922500000001,90.124425,91.40163846153847,92.30635454545455,93.36412499999999
Rec-032_30s_4,30,2.0,6,75.4931682287013,18.389391109890393,0.012789568808260642,93.88255933859169,298.7596992016151,0.2351923829419597,0.16901823961845128,0.0938489402164298,0.05144826484649671,0.02802430637069164,0.015494557968861088,0.008585176931475808,12.855002500000012,3.860282152863985,3.2755605868037523,0.004840358938574012,True,2.743017056536466,0.43110361831268335,65.72,1.782,75.4931682287013,80.49571,86.82774166666665,89.7877,91.46938181818182,92.46085384615387,93.35071250000001
Rec-G3_S60_1,60,2.0,6,72.3116772020676,22.040002583928334,0.008700976798553804,94.35167978599594,415.6887646457169,0.19176955112282631,0.1422464134703563,0.08612541355395048,0.052678075377492604,0.032501788860152536,0.01987951770363291,0.012229919929659206,14.816476923076905,5.793567231008834,4.492016597577322,0.005648176552701776,True,3.339717645038622,0.49159190616115217,65.442,1.96,72.3116772020676,78.03713076923079,84.36760769230771,88.30952857142857,90.60839230769231,92.19920714285713,92.85360769230769
