specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6
Rec-022_10s_1,10,2.5,6,84.97493175934095,11.530812042358198,0.011960788560726604,96.50574380169914,274.6867242526427,0.1379176047721265,0.09730010875810882,0.053932568671944986,0.03148461622483261,0.018564123820666648,0.010794194858737666,0.006226486460900771,7.6680084615384345,4.671061685735721,3.737051594534139,0.010238915581619424,True,6.860949574404812,1.9560649315222882,68.711,1.303,84.97493175934095,88.36753,92.04010000000001,93.71915714285714,95.12910769230771,95.38704545454544,96.03553846153844
Rec-024_90s_1,90,1.75,6,75.92966272220384,20.29477055153898,0.011714415666939466,96.22443327374282,326.9473215202235,0.23774137810588994,0.16992721309678696,0.09760101037239899,0.05529810750970903,0.03232458116669082,0.019267914968626766,0.011219190531845913,14.414753846153829,6.180073550431842,5.027651037641089,0.006692702161603727,True,7.364240649808227,1.605937289727143,65.416,2.467,75.92966272220384,81.20607692307694,88.5169,90.8955,93.07502307692309,93.992475,95.62083076923076
Rec-025_30s_1,30,1.75,6,78.89089619601612,18.97780755525368,0.010343338596340505,97.86870375126979,351.76517978917104,0.19629388936017783,0.14820833307291809,0.08836288336412888,0.05500270271846155,0.035377164601871104,0.022173378832888477,0.01433563372853723,12.886543636363612,3.076460444334629,2.36125327969823,0.005149518670697074,True,6.994232408274189,1.782024519750795,67.051,1.965,78.89089619601612,83.48402000000002,89.69826666666667,92.37397272727274,93.96602727272726,95.98505,96.37056363636363
Rec-026_60s_2,60,2.0,6,73.1565696551957,22.37946881686181,0.011971082521229429,95.5360384720575,329.915970573132,0.26790646798793344,0.19008415350277497,0.11069437145611234,0.06268652884774621,0.03657803267895578,0.0210055713174784,0.011848140349933414,15.047209999999993,2.9029957529681036,2.323154579782559,0.0034135609623584303,True,6.758525111843105,1.635381210202052,64.007,2.429,73.1565696551957,79.6222,86.34831666666666,90.35894444444445,92.2891923076923,93.72261538461537,94.66941
Rec-028_30s_2,30,1.75,6,76.69895429037936,18.065333668373338,0.012504599258526308,94.7642879587527,302.20118720346346,0.2258997579945716,0.15588547050279108,0.08553287541075325,0.04742267760332237,0.026623782065669357,0.014884806778796241,0.008339149625513532,11.751525,4.64037869273249,3.921292627214669,0.005322929612707332,True,6.6157083551572375,1.595911505689253,64.356,1.958,76.69895429037936,82.28970000000001,87.94725384615384,90.93051,92.6027923076923,93.71177,94.04122500000001
Rec-029_10s_2,10,2.5,6,84.33708886601421,12.942207888283368,0.010929862749375392,97.27929675429758,302.9137793966722,0.14145655589282075,0.1017252059209363,0.0601981551325233,0.0367440474611198,0.021783754172055,0.013104109098559103,0.008086453448792904,8.079891666666697,4.566802294456891,3.518601111082634,0.007843052949089664,True,6.040292208093878,1.4781349803642525,70.217,1.174,84.33708886601421,88.15745833333331,91.449125,94.17422222222223,95.149825,96.29026666666667,96.23735
Rec-030_90s_2,90,1.75,6,73.4828186933174,21.910096370766453,0.011821495560451636,95.39291506408385,331.233933408808,0.2590101069760831,0.18897735676378888,0.10756936701419541,0.062203210845142375,0.03668543530133422,0.02055545869416069,0.012099080822018826,15.201196153846155,4.197504791428803,3.54495660343618,0.003948001275807365,True,7.002219339388595,1.4920095344300226,63.943,2.541,73.4828186933174,79.33755384615384,86.37087272727273,90.12513636363636,92.3557,93.35945555555554,94.53875
Rec-031_30s_3,30,1.75,6,78.04483504243002,18.47381333965848,0.010292497329083574,96.5186483820885,350.40891663793514,0.1901416744564234,0.143023700824839,0.08652154029223524,0.05342941544916818,0.033050771299817594,0.020270188913066402,0.012241341994294939,12.548365151515114,3.2842487127381115,2.519277432733572,0.0037481366152129648,True,6.6195969063255795,1.704245093314196,65.816,1.854,78.04483504243002,82.8688181818182,87.9167625,92.03005555555555,93.12327692307692,94.25530833333335,95.41718333333331
Rec-032_30s_4,30,2.0,6,78.05727490782496,17.587084198459433,0.012665989884561779,95.6443591062844,297.2447193872547,0.2227578305566235,0.1602555106031096,0.0894906318789357,0.04944907844501464,0.027036773044083983,0.015066163038506306,0.008377871123228554,12.307214141414136,3.4982127959670963,2.9055947680395744,0.004685507811479758,True,6.50695450113717,1.666344526893263,65.72,1.782,78.05727490782496,82.84796363636363,88.75813076923077,91.76118749999999,93.27735833333332,94.35536153846154,95.15517777777777
Rec-G3_S60_1,60,2.0,6,73.99532689544782,21.91515956120986,0.008485550977949214,95.91048645665768,422.4070829847513,0.18596220364653743,0.13896278960648337,0.08518903742970256,0.052743425348081206,0.03288697849054568,0.020390261656771397,0.012695921762587173,14.784930769230769,5.94832424717027,4.622067457373722,0.006384374448333767,True,5.837929782980386,1.1545331526699079,65.442,1.96,73.99532689544782,79.55835384615385,85.7744,89.7881357142857,91.95568571428569,93.62613571428572,94.34328461538462
