specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,hr_t7,hr_t8,hr_t9,hr_t10,hr_t11,hr_t12,hr_t13,hr_t14,hr_t15,hr_t16,hr_t17,hr_t18,hr_t19,hr_t20,hr_t21,hr_t22,hr_t23,hr_t24,hr_t25,hr_t26,hr_t27,hr_t28,hr_t29,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
Rec-027_std_2,0.0,2.5,29,93.7996439553725,4959.486990947686,1.0000000033289436e-06,5053.286634903058,,0.004959487007457538,0.004959487007457538,0.004959224988148177,0.004958951411781637,0.004958682809187324,0.00495843074921693,0.004958193576617726,0.004957945673135709,0.004957690345507435,0.004957438335985996,0.004957194601258859,0.004956952530832293,0.004956722037897844,0.004956497338257942,0.0049562635623126355,0.00495604053546973,0.004955804303167001,0.004955572211766213,0.004955369037469955,0.004955160090480177,0.004954940416584909,0.0049547331392457055,0.004954521741807571,0.00495431365626355,0.004954103928090681,0.004953902465293372,0.004953706790009955,0.004953516075969173,0.0049533253692707405,0.004953137146482337,6.706799999999987,0.5287369521717751,3891683.147101098,0.0007851455950526242,False,3.13120460336058,0.20096470223062027,,,93.7996439553725,93.9509,94.41063636363637,94.51914166666666,94.05659999999999,95.109625,94.69418888888889,95.04236923076922,95.473975,95.72942222222223,95.74884999999999,95.8744090909091,96.49447857142856,96.59011999999998,97.0301076923077,96.96811818181818,97.75376923076921,97.68515000000001,98.19379285714287,97.60132727272729,97.09969999999998,98.34240714285714,98.61336,98.93037142857143,98.9214,99.883775,99.89047777777779,100.49561250000001,100.43965384615385,100.65769999999999
Rec-G3_std_1,0.0,3.25,22,96.42672652327717,4697.340284327426,1.0000000107757625e-06,4793.767010850704,,0.00469734033494485,0.00469734033494485,0.00469708981680483,0.00469683070116115,0.004696584906783483,0.004696325818993237,0.004696075354959292,0.0046958335133033815,0.00469558542331719,0.004695342041777818,0.004695115105727686,0.004694875660960607,0.0046946424879241114,0.0046944030672599266,0.004694176176592466,0.004693949296891123,0.004693716169862901,0.004693499481632649,0.004693286714476614,0.00469306848171599,0.004692858080526655,0.004692647688770094,0.0046924912697857805,,,,,,,,3.7042923076922847,1.3609562086078524,11476081.274958936,0.002444370374555571,False,3.5428137830493838,0.5144925425805158,,,96.42672652327717,96.4688076923077,96.91877692307692,96.98768571428572,97.66755833333333,97.34785384615385,97.48935384615386,97.83089166666666,98.07153846153847,98.46732857142857,98.24549285714286,98.73438571428571,98.73652857142856,99.04237142857143,99.28143571428573,99.64543571428571,99.85862857142857,100.71566153846153,100.80845384615387,101.98438571428572,101.52051538461536,101.71519285714287,100.17309999999999,,,,,,,
STD_OLS_global,,,51,94.24433155356512,4917.941253934991,1.0000000031597784e-06,5012.185585488556,,0.004917941269474596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.706799999999987,0.4909492900380423,3634445.6280114204,0.000739436975836389,False,,,,,94.24433155356512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
