specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,hr_t7,hr_t8,hr_t9,hr_t10,hr_t11,hr_t12,hr_t13,hr_t14,hr_t15,hr_t16,hr_t17,hr_t18,hr_t19,hr_t20,hr_t21,hr_t22,hr_t23,hr_t24,hr_t25,hr_t26,hr_t27,hr_t28,hr_t29,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
Rec-027_std_2,0.0,2.5,29,92.88824939091025,5086.62325188847,1.000000027416244e-06,5179.51150127938,10207.647522600979,0.005086623391344574,0.005086623391344574,0.005086353807441478,0.005086073217988405,0.005085798577442466,0.005085539208321874,0.005085296803390329,0.005085042544899703,0.005084780671944748,0.005084522202156334,0.00508427221928667,0.00508402394338194,0.005083787541758473,0.005083557081940723,0.005083317313146377,0.005083088569007795,0.005082846280887276,0.005082608239820767,0.005082399857149095,0.005082185553800838,0.005081960248562745,0.005081747657666575,0.005081530841052692,0.005081317421233363,0.00508110146982604,0.005080895689377953,0.005080694997956402,0.005080498548209148,0.005080303799492168,0.005080110751610428,6.616630128205131,0.4895748802170044,3173578.339444233,0.0006242720801581275,False,2.882498654304068,0.49288709851231083,,,92.88824939091025,93.22996153846154,93.43808181818184,93.43916666666667,93.37131666666666,94.01661250000001,94.24725000000001,94.26986666666669,94.6091,94.88273749999999,95.38905555555554,95.06500000000001,95.71964615384614,96.13482222222223,96.22678333333334,96.38568000000001,96.84641666666666,96.88697272727272,97.37848461538464,96.81807,96.94591666666666,97.52739230769231,97.78314444444445,98.10215384615387,97.92134999999998,99.03986363636363,99.56842499999999,99.40107499999999,100.01844999999999,99.84659166666667
Rec-G3_std_1,0.0,3.25,22,95.54167037384815,4652.206659781003,1.0000001186587659e-06,4747.748330154851,,0.004652207211806103,0.004652207211806103,0.004651959100675056,0.004651702474646217,0.004651458266647836,0.004651202443448018,0.004650954385903193,0.00465071486789154,0.004650468386506109,0.004650228118484607,0.004650003362863849,0.004649766218711431,0.0046495352860300414,0.004649298165748936,0.004649073455074813,0.004648847980453291,0.00464861786814628,0.004648403261883102,0.00464819253901998,0.004647976403066469,0.0046477672488095196,0.004647559653150777,0.004647404737059239,,,,,,,,3.97921346153845,1.1460006522071409,9532702.438611288,0.002050142938175086,False,3.255081190347067,0.7752117140374432,,,95.54167037384815,95.52572500000001,95.90716666666667,96.14965384615387,96.69563333333332,96.48610833333333,96.51925833333333,97.13860909090909,97.25463076923077,97.68883076923076,97.38546153846156,97.73335384615383,97.83913076923078,98.0924076923077,98.4556153846154,98.64220714285715,99.0275923076923,99.65814166666667,100.00488333333334,101.07473076923078,100.40255384615384,100.79638461538462,99.50493846153846,,,,,,,
STD_OLS_global,,,51,93.47542871063307,4823.556990988143,1.0000028895199372e-06,4917.032419698777,,0.004823570928752237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.616630128205131,0.44716112914910056,2971988.0223693587,0.0006164988396190742,False,,,,,93.47542871063307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
