specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6
Rec-022_10s_1,10,2.5,6,85.27696431139583,11.781426810147616,0.013219434020457471,97.05839112154345,257.8640059914548,0.15574379438359515,0.10591591110558046,0.05517371944068844,0.03050270752261438,0.016975207139634664,0.009343455073715614,0.005075265821268902,7.559980769230762,4.884773895259497,4.012697199760902,0.01056738015178898,True,6.530302240700799,2.1488267096646787,68.711,1.303,85.27696431139583,89.07435000000001,92.82048999999999,94.68728461538461,95.88853076923077,96.3027,96.63433076923077
Rec-024_90s_1,90,1.75,6,76.73440954013043,20.107232017286787,0.012675501852161796,96.84164155741722,307.78699260092907,0.25486925667696564,0.17759379501562983,0.09746809928412337,0.052596559779075396,0.029482674810154923,0.016808009814662562,0.009362102381062767,14.224618589743585,6.672015668654418,5.642667130793001,0.007135968813628773,True,6.824554386684422,1.8457105341231925,65.416,2.467,76.73440954013043,82.25505833333334,89.85246666666667,92.06436,94.00529999999999,94.989025,96.47967692307692
Rec-025_30s_1,30,1.75,6,79.69238041300588,19.103605955770956,0.010498163855051527,98.79598636877684,348.79255384422925,0.20055278554602174,0.15078837497712844,0.0893640847437442,0.055136025756051615,0.0352911196267226,0.02192690896031773,0.014108701296870944,13.218310000000002,2.9964181099419873,2.2559521722460323,0.004706068737348628,True,6.53598040081508,2.0657871245205333,67.051,1.965,79.69238041300588,84.32656,90.92741818181818,93.41237272727273,94.90759999999999,96.70975833333334,97.54487
Rec-026_60s_2,60,2.0,6,74.17429220606994,21.953951781433926,0.01256851428585559,96.12824398750386,316.72366270058325,0.27592855659593707,0.1924515761792801,0.10908928490797681,0.06004908108705444,0.03410960796412351,0.019053254772349926,0.010444170833836405,14.67486818181817,2.9721425200584193,2.4159457528822106,0.0035706566759446997,True,6.260869244971357,1.839825129056414,64.007,2.429,74.17429220606994,80.76438181818182,87.58693333333333,91.31864444444446,93.33327692307692,94.51078461538462,95.43924999999999
Rec-028_30s_2,30,1.75,6,77.09509617294496,18.284113968402966,0.013519880638353328,95.37921014134793,286.3041353174043,0.24719903843085692,0.16589538135940776,0.08669559596637796,0.04571662738067021,0.02449071941927177,0.013060857718106068,0.006981045290496777,11.726566666666656,4.8590704830240075,4.222650360774506,0.005548845833802983,True,6.155024804937589,1.8116180426256774,64.356,1.958,77.09509617294496,83.09798333333333,88.98078333333332,92.00885,93.44807692307694,94.54371,94.82454999999999
Rec-029_10s_2,10,2.5,6,84.59019407468173,13.362255233583232,0.011615949398239378,97.95244930826496,293.1673377617778,0.1552152806396621,0.10954490742847729,0.06272555921575779,0.03704670083602342,0.021295285571232482,0.012384034156375422,0.007428368868305857,8.367315151515143,4.983784772634029,4.005504490316746,0.007756987074591109,True,5.618536855630545,1.7000234815832904,70.217,1.174,84.59019407468173,88.69811818181819,92.2854090909091,94.9520111111111,95.97359090909093,97.04075555555555,97.06543333333333
Rec-030_90s_2,90,1.75,6,73.98388364019044,21.96401354232662,0.012865974227726987,95.94789718251707,311.254737883528,0.2825884321730208,0.20094740734220337,0.10882761471681557,0.05995783957020265,0.03367706797435818,0.017928370334169524,0.010091608236993522,15.101629545454571,4.2991324242402476,3.6890621786832236,0.004229047115511159,True,6.461920854099287,1.751076862060924,63.943,2.541,73.98388364019044,80.26192499999999,87.56945,91.29218,93.32787777777779,94.28726666666667,95.36355454545456
Rec-031_30s_3,30,1.75,6,78.85630795368573,18.14576773271332,0.011030445545117668,97.00207568639905,331.7817455505969,0.20015590285004756,0.14751367997216194,0.08607917333639913,0.05144500471579555,0.030689507915365677,0.01820712641420286,0.010585475645270813,12.361368181818179,3.393767214879862,2.712154477397519,0.00394993663272895,True,6.154423154870812,1.948495083534221,65.816,1.854,78.85630795368573,83.80668181818181,89.02498750000001,92.94909999999999,94.02403846153848,95.00022727272727,96.16805
Rec-032_30s_4,30,2.0,6,78.60115043273515,17.946200963254498,0.013031534418859464,96.54735139598965,292.7786068081983,0.23386653554041983,0.16701817172380015,0.09171189028877902,0.049708200438806055,0.026767060168469404,0.014634439272868815,0.008018529890245023,12.640709999999999,3.3109261032329647,2.797704251314693,0.004458593609006991,True,6.064539574960172,1.952407129685277,65.72,1.782,78.60115043273515,83.54944,89.81855,92.7209125,94.18275454545454,95.1655076923077,96.19015
Rec-G3_S60_1,60,2.0,6,74.67345842083796,21.704048104853026,0.008948931491236444,96.37750652569099,405.59443706148454,0.1942280395728299,0.14284873634337017,0.0852622016065101,0.05142459726551171,0.03129476734994888,0.01887496190769402,0.011452265859369471,14.604776923076912,6.189583179632662,4.794336380863252,0.0065115149840166585,True,5.393045952096145,1.2958410357469596,65.442,1.96,74.67345842083796,80.42883846153846,86.79376153846154,90.69905000000001,92.7592153846154,94.3899,95.03361538461537
