specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,hr_t7,hr_t8,hr_t9,hr_t10,hr_t11,hr_t12,hr_t13,hr_t14,hr_t15,hr_t16,hr_t17,hr_t18,hr_t19,hr_t20,hr_t21,hr_t22,hr_t23,hr_t24,hr_t25,hr_t26,hr_t27,hr_t28,hr_t29,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
Rec-027_std_2,0.0,2.5,29,99.79350735227123,4930.822927241414,1.0000000252429807e-06,5030.616434593685,,0.0049308230517100815,0.0049308230517100815,0.00493056254676734,0.004930289729847537,0.004930023501383637,0.004929772898218875,0.004929537096382264,0.004929290625683042,0.004929036773746154,0.004928786220738774,0.004928543894700701,0.004928303223344208,0.004928073241220938,0.004927850661600552,0.004927617415516883,0.0049273964989494275,0.004927161631974756,0.004926930060814173,0.004926728881939041,0.004926521142579144,0.004926302738310974,0.004926096658951742,0.0049258864833061,0.00492567960041315,0.00492547108438509,0.004925269965083614,0.004925076241603351,0.004924886629813313,0.004924697025323189,0.004924509890387089,6.18787362637363,0.7536009602659461,4668763.699555591,0.000947451436885331,False,4.948698797513638,0.7584427254647751,,,99.79350735227123,100.15285714285713,100.5496909090909,99.93636153846153,99.9238153846154,101.1831125,100.80241111111111,100.86318461538461,101.565275,101.56226666666666,101.78417999999999,102.0891,102.07726,102.73940999999999,102.62622142857144,103.18447272727272,104.22403076923078,103.15105384615383,104.37075000000002,103.61866363636364,103.18447142857143,104.49869285714287,104.23197000000002,104.64599285714287,104.67700833333333,105.14670000000001,105.88612222222223,106.6851875,106.38666153846151,106.34073076923076
Rec-G3_std_1,0.0,3.25,22,101.8227179290754,4245.297326684694,1.0000000133477012e-06,4347.120044613769,,0.004245297383349654,0.004245297383349654,0.004245070973523836,0.004244836793564861,0.004244614652915764,0.004244380498129781,0.0042441541372032045,0.004243935568890403,0.004243711353547929,0.004243491393540513,0.004243286296410308,0.0042430698943246034,0.00424285845327383,0.0042426427801146496,0.00424243772399977,0.004242231970756966,0.0042420219854687885,0.00424182614997175,0.004241633858209031,0.004241436626817657,0.004241245766461293,0.0042410563283786775,0.0042409149621886275,,,,,,,,3.0420730769230886,1.857924560738907,14863890.600984065,0.0035031040843628613,False,5.148585959418934,0.9889354429590834,,,101.8227179290754,101.68147692307693,102.1741230769231,102.37422857142857,103.238725,102.58743846153847,102.7627923076923,103.12565833333333,103.33476153846154,103.80862857142857,103.31628571428571,104.17691428571429,103.83576666666666,104.20404285714288,104.40952142857142,104.67519333333333,105.05694285714286,105.8105153846154,106.01092307692308,108.11181428571429,106.08815000000001,106.72006428571429,104.72355000000002,,,,,,,
STD_OLS_global,,,51,100.16511613450785,4756.548238565912,1.0000000067317714e-06,4856.71335470042,,0.004756548270585907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18787362637363,0.69115684020536,4310739.032254018,0.0009068389322013649,False,,,,,100.16511613450785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
