specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,hr_t7,hr_t8,hr_t9,hr_t10,hr_t11,hr_t12,hr_t13,hr_t14,hr_t15,hr_t16,hr_t17,hr_t18,hr_t19,hr_t20,hr_t21,hr_t22,hr_t23,hr_t24,hr_t25,hr_t26,hr_t27,hr_t28,hr_t29,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
Rec-027_std_2,0.0,2.5,29,96.4332469222566,5063.107282952862,1.000000032810571e-06,5159.540529875118,9064.238067608923,0.005063107449076303,0.005063107449076303,0.005062839955290323,0.005062560662980843,0.005062286448362647,0.00506202912200018,0.005061787837688103,0.005061533911025961,0.0050612732487331025,0.005061015973873642,0.005060767990158436,0.005060520862014237,0.00506028470987652,0.005060056158837775,0.005059816655173363,0.005059589811804324,0.005059347800538534,0.00505911085995717,0.00505890344065723,0.005058690971167642,0.005058466707498444,0.005058255099393737,0.005058038442099982,0.005057826008939571,0.005057611898830197,0.005057406226788256,0.0050572073060489425,0.005057011764473854,0.005056817916065308,0.0050566257606291685,6.659405952380979,0.611728797391136,3677998.8932429245,0.0007268850592941419,False,4.629010317000707,1.2319905715936654,,,96.4332469222566,96.5009357142857,97.08805454545455,97.14115833333335,96.49546153846154,97.7592875,97.89215,97.56009230769232,97.93264999999998,98.16006666666667,98.98925555555554,98.77014,99.10482857142856,99.70284444444445,99.66150769230768,100.06594000000001,100.43735384615387,100.18844166666666,100.65554285714288,100.4911,100.41646666666666,101.13664615384617,100.65393,101.20312142857141,101.37569166666667,102.2765,103.1754125,103.09911249999999,103.333725,103.16034166666668
Rec-G3_std_1,0.0,3.25,22,98.74810497917949,4337.430589610609,1.0000000000006073e-06,4436.178694589788,,0.0043374305896132425,0.0043374305896132425,0.004337199266150477,0.0043369607267507325,0.004336733042289347,0.004336494528531209,0.004336262532279887,0.004336039943183066,0.004335810139155938,0.004335586128085751,0.004335375857257647,0.004335154758726987,0.004334939451387481,0.004334719097566075,0.004334509591206137,0.004334299372588806,0.004334084830079833,0.004333884022134794,0.0043336882794603486,0.004333486045392805,0.0043332917651235855,0.004333098215747378,0.004332953781547437,,,,,,,,3.322576923076923,1.4058419590141105,11606545.347083902,0.002677293890483143,False,4.656349291713488,1.4411372672176563,,,98.74810497917949,98.72386923076922,99.0543846153846,99.29618461538462,100.01505000000002,99.58350833333334,99.72239230769233,100.24994545454545,100.36949999999999,100.78352307692309,100.2339357142857,100.92043571428572,100.88166428571427,101.10012307692308,101.41846153846153,101.77494285714286,102.01686923076923,102.64658461538463,102.98508333333332,104.74067142857143,103.30589230769232,103.72338461538462,102.04644615384615,,,,,,,
STD_OLS_global,,,51,96.92358309263132,4776.110340791593,1.0000000123800247e-06,4873.033923884224,,0.0047761103999199575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.659405952380979,0.5538940242853574,3412022.5015147016,0.0007148334053874341,False,,,,,96.92358309263132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
