specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6
Rec-022_10s_1,10,2.5,6,82.73976669527664,11.752953511077529,0.011497033480259952,94.49272020635416,283.98690935013735,0.1351241000087971,0.09662750894136939,0.05479924888063898,0.03266518986253048,0.01965878545438526,0.01167354866183366,0.006878921934603674,7.964169999999996,4.737010909775332,3.7810277372051306,0.009700772168975276,True,4.10597525929644,0.7956364268887067,68.711,1.303,82.73976669527664,86.05183000000001,89.82991999999999,91.53332142857143,92.94444615384614,93.21001818181817,94.016
Rec-024_90s_1,90,1.75,6,73.44610250099713,20.91390210957132,0.01080564295305398,94.36000461056845,349.75207024227973,0.22598815895115013,0.1657898196160394,0.09941010211619696,0.05886107793763405,0.03587072204635189,0.022257347758829905,0.013515155347533968,14.692399999999992,5.805671708795119,4.560979764600855,0.006130060247094996,True,4.655713992289802,0.6826673507646207,65.416,2.467,73.44610250099713,78.61852307692308,85.7298846153846,88.39466999999999,90.86625384615384,91.8663375,93.31092307692307
Rec-025_30s_1,30,1.75,6,76.655927344126,19.108814262369496,0.010081795396089636,95.76474160649549,359.032723520472,0.19265115565508875,0.14649514600782143,0.08849114805653654,0.055746812625212014,0.03625813001742932,0.02299559188624207,0.01503208376546799,12.926791818181812,3.229729289616126,2.485552878644197,0.004877764216947836,True,4.232652563760708,0.7695589365076567,67.051,1.965,76.655927344126,81.18369,87.24485833333331,90.1235090909091,91.67771818181818,93.81682500000001,94.11048181818181
Rec-026_60s_2,60,2.0,6,70.66407208688767,22.908034118528136,0.011591216632441653,93.5721062054158,339.95988708966036,0.2655319860912242,0.19046220289521396,0.11283393623720114,0.06506158981889688,0.03861842941377852,0.022571090466174146,0.012964610493217534,15.414105454545435,3.1630726774829463,2.509288019628713,0.0035005645000549075,True,4.124067735643282,0.7062327257943469,64.007,2.429,70.66407208688767,77.10995454545456,83.87781666666665,88.02044444444444,90.04283846153845,91.61774615384616,92.52405999999999
Rec-028_30s_2,30,1.75,6,74.41283075119252,18.4590912556665,0.011825066869128863,92.87192200685902,316.6656070582605,0.21827998844160823,0.15369471614670815,0.08712684649885732,0.04987979820543828,0.028895681495892573,0.016673598583983613,0.009640102876427258,12.08314807692308,4.892633508994335,4.056127007349954,0.005527555191916965,True,4.042342087514661,0.6733776722562261,64.356,1.958,74.41283075119252,79.89187692307692,85.50954615384617,88.58009999999999,90.48353846153847,91.61949,91.975025
Rec-029_10s_2,10,2.5,6,82.57662027487652,12.797236277458042,0.01050970170423039,95.37385655233456,310.22207053921335,0.13449513591463977,0.0979527643561252,0.05914663409874116,0.03679387866312477,0.022256128876619784,0.013652413191121569,0.00858260778209054,8.098953333333355,4.689676200741771,3.55552298868653,0.008402324981633824,True,3.7971635674937008,0.561145831082536,70.217,1.174,82.57662027487652,86.20711666666665,89.45729166666666,92.07093333333334,93.16227500000001,94.29047777777778,94.30607
Rec-030_90s_2,90,1.75,6,71.42565373403053,22.178634727906637,0.010821295818162956,93.60428846193717,354.8058298404444,0.24000156723365978,0.17984179809809003,0.10736802987142463,0.06503175948772075,0.04010594368332008,0.023600810384493003,0.014528704122317555,15.452497435897428,4.25834464768946,3.502610748873995,0.00388786360417823,True,4.391298337613917,0.6515845230174581,63.943,2.541,71.42565373403053,76.90446923076924,83.79422727272728,87.56466363636365,89.99876666666667,91.20322222222222,92.35696666666666
Rec-031_30s_3,30,1.75,6,75.48434102188925,19.339205697723852,0.009575736366358749,94.8235467196131,373.8804106789107,0.1851871352961866,0.14208680161424736,0.0890166137740255,0.056846768202057044,0.036360814631858994,0.02307256377513718,0.014431785700837429,12.82850909090908,3.462302487124082,2.50056208872206,0.0037744221352964597,True,3.950769084313921,0.7541107496101097,65.816,1.854,75.48434102188925,80.45689090909092,85.298775,89.83126666666666,91.06801538461538,92.21121666666669,93.2854
Rec-032_30s_4,30,2.0,6,75.75515425138072,17.839350195078822,0.01246095936915013,93.59450444645954,301.96877194921814,0.22229541795291763,0.16077763562888253,0.09063297725478293,0.05056349485599745,0.027917604452369855,0.015704958904207224,0.00881644504061705,12.396353535353512,3.841025385320425,3.177570782440568,0.005021284856223104,True,3.959693133123082,0.6938566213216516,65.72,1.782,75.75515425138072,80.57749090909093,86.47325384615384,89.4692125,91.21369166666666,92.28573076923077,92.97384444444444
Rec-G3_S60_1,60,2.0,6,72.24717744078382,22.190778305406308,0.008161290745939038,94.43795574619013,435.9472842048753,0.18110539362909728,0.13684854884344108,0.08547640717756984,0.05389983794236307,0.03422018312153969,0.02160798468511397,0.0136999316131645,14.968399999999988,5.610568656321533,4.39197070205894,0.005836755410846053,True,4.199215642412609,0.652724769876585,65.442,1.96,72.24717744078382,77.70699230769232,83.84187692307691,87.90962857142857,90.22599285714287,91.907,92.6753923076923
