specimen,pausa_s,peso_rottura_kg,n_layers,T0,A,alpha,T_inf,t_star,heating_rate_t0,hr_t1,hr_t2,hr_t3,hr_t4,hr_t5,hr_t6,delta_T,sigma_T0,sigma_A,sigma_alpha,fit_ok,roi_std_spaziale_mean,roi_skew_spaziale_mean,bed_temp_C,bed_temp_std_C,T0,T1,T2,T3,T4,T5,T6
Rec-022_10s_1,10,2.5,6,85.82451564787024,11.495256606189761,0.01156227302312533,97.31977225406,281.11132188206034,0.1329112953516511,0.09486444617750345,0.05362650923805874,0.03187242561224778,0.01908966580094025,0.01132392562751421,0.006652902598915041,7.689461538461515,4.665447774947287,3.6829770592837576,0.010745843773504694,True,7.337385782871169,1.815163839671183,68.711,1.303,85.82451564787024,89.0948,92.74825999999999,94.54927142857143,95.62592142857144,96.31698181818182,96.78426153846152
Rec-024_90s_1,90,1.75,6,76.47785144145128,20.248942768666254,0.012167246705577242,96.72679421011753,317.85778837723007,0.24637388219347658,0.17382617799947722,0.09772324752764662,0.05416462464911231,0.031011637572413146,0.018082559960064887,0.010332090012387793,14.440600000000032,6.354095657299456,5.2325861238849845,0.007051276051758129,True,7.8565735220584045,1.486178928686896,65.416,2.467,76.47785144145128,81.93211538461537,89.32418461538461,91.58834999999999,93.74130769230769,94.48933333333332,96.3727153846154
Rec-025_30s_1,30,1.75,6,79.8230139225339,19.05064659095247,0.009891751382392896,98.87366051348637,363.8795618493828,0.18844425975153262,0.14403788372043064,0.0878375229018812,0.05572719195179074,0.03660075175339476,0.02337443064016608,0.015428078973537002,13.069698181818197,2.8651154797048513,2.1659503358659284,0.004896150779203071,True,7.454260717987695,1.655133531348156,67.051,1.965,79.8230139225339,84.24112,90.52042499999999,92.77669166666668,94.79729999999999,96.66377692307694,97.31081818181819
Rec-026_60s_2,60,2.0,6,73.75184056282998,22.328490979904895,0.012143814777139694,96.08033154273488,326.362632047823,0.27115305871299944,0.1914373810929319,0.11039238557628998,0.06213030837524773,0.03597276996828641,0.0204518813403858,0.01144091236742669,14.982581818181842,2.794364567845667,2.237959627925581,0.003466247515376534,True,7.211683221851678,1.4935559517041528,64.007,2.429,73.75184056282998,80.29965454545453,87.00172307692308,91.07438888888889,92.9361230769231,94.27459285714285,95.28223636363637
Rec-028_30s_2,30,1.75,6,77.57247735473139,17.830890570258443,0.012381920918362134,95.40336792498984,303.488749567874,0.22078067694490913,0.15290846527125312,0.08439492522070983,0.04696626988009356,0.026517308380281542,0.014940893697018941,0.008418286700305377,11.691389102564102,4.492768767332768,3.768978077652144,0.005282237496018475,True,7.065270669900667,1.4555126810826282,64.356,1.958,77.57247735473139,82.99136923076922,88.67646923076924,91.52531818181818,93.17579285714285,94.36408,94.68275833333333
Rec-029_10s_2,10,2.5,6,85.51631333596833,12.51973477530454,0.010015215262965964,98.03604811127288,318.7166187168468,0.12538783880991577,0.09269235361326875,0.05731461494116178,0.036398681786577486,0.02258171779539959,0.014150697547622984,0.009107465373851042,8.247388333333333,4.464932443277953,3.38463903436452,0.00820884415754975,True,6.412589641503832,1.3521053296522048,70.217,1.174,85.51631333596833,88.86764166666667,92.1254,94.58428,95.81218333333334,96.58003,97.11503
Rec-030_90s_2,90,1.75,6,73.94131286775699,22.067972300812112,0.012109240691779202,96.00928516856911,326.0898181347985,0.26722638817005034,0.1934817339443368,0.10863308054132756,0.061986367681646226,0.03601792965404966,0.019939092925492088,0.011585851425338111,15.291899358974362,4.1209633041125375,3.461206595263992,0.004121059476854492,True,7.438693432151861,1.3897875350773237,63.943,2.541,73.94131286775699,80.00209230769231,87.04380000000002,90.9276,93.07081000000001,93.98624444444445,95.29399166666667
Rec-031_30s_3,30,1.75,6,78.96094501626655,18.279318949616776,0.010165366605048505,97.24026396588333,352.7035334708172,0.1858159784134647,0.14026240801650244,0.0853795213598423,0.053039041404445486,0.03300451920655623,0.02036442658879894,0.012375102860209345,12.546090909090907,3.135019661372149,2.4079012013453616,0.003768706747006854,True,7.084918833166367,1.573281347350238,65.816,1.854,78.96094501626655,83.5956090909091,88.6738,92.71122222222222,93.73414615384614,94.95025,96.1417
Rec-032_30s_4,30,2.0,6,78.91562483258,17.448422074078138,0.012393177297234248,96.36404690665813,301.5368159935209,0.21624138832102607,0.15667486156003632,0.08859598644128715,0.049481913741862664,0.027465517320286802,0.01546708298699959,0.008728228272580421,12.324925252525247,3.4543360689575264,2.8137050488887176,0.0048355822338007086,True,6.921018072029163,1.541843893733456,65.72,1.782,78.91562483258,83.56176363636364,89.4375153846154,92.29425555555555,93.95522499999998,95.00231428571429,95.88668888888888
Rec-G3_S60_1,60,2.0,6,74.83841021076499,21.518228559285678,0.008562236418435664,96.35663877005067,417.74900399583436,0.18424416023053822,0.13712112774365554,0.08368912542811126,0.051664439848483915,0.03207697769280803,0.019802322895043332,0.01225965769099311,14.505685714285704,6.305087678694972,4.891922248112488,0.006924137724715286,True,6.218585378023999,1.0796375665771716,65.442,1.96,74.83841021076499,80.3493,86.56649285714286,90.31697857142856,92.55220714285714,94.17933571428571,94.8549857142857
